From 2022-03-05T16_25_21-08_00_PT10M55.738S_Walking.tcx

 Distance  (m), Date and Time, Latitude (deg N), Longitude (deg E), Altitude (m)


0.0,2022-03-06 00:25:22.846,47.94892883300781,-122.37125396728516,121.6402587890625
2.2921481132507324,2022-03-06 00:25:24.758,47.94894027709961,-122.37125396728516,118.87924194335938
2.2921481132507324,2022-03-06 00:25:26.755,47.94894790649414,-122.37126159667969,118.87924194335938
12.471017360687256,2022-03-06 00:25:31.803,47.94894790649414,-122.3712387084961,120.91497802734375
12.471017360687256,2022-03-06 00:25:34.529,47.948944091796875,-122.37123107910156,120.92520141601562
12.471017360687256,2022-03-06 00:25:41.438,47.948936462402344,-122.3712158203125,121.09698486328125
12.471017360687256,2022-03-06 00:25:42.746,47.94892501831055,-122.3712158203125,121.21556854248047
12.471017360687256,2022-03-06 00:25:48.768,47.948936462402344,-122.37122344970703,120.51191711425781
12.471017360687256,2022-03-06 00:25:54.764,47.948944091796875,-122.37123107910156,120.77156829833984
12.471017360687256,2022-03-06 00:25:56.767,47.94893264770508,-122.3712387084961,120.69186401367188
12.471017360687256,2022-03-06 00:25:59.663,47.94892120361328,-122.3712387084961,120.632568359375
29.73545217514038,2022-03-06 00:26:02.003,47.94891357421875,-122.37122344970703,120.44447326660156
29.73545217514038,2022-03-06 00:26:03.221,47.94891357421875,-122.37120819091797,120.44447326660156
29.73545217514038,2022-03-06 00:26:04.769,47.94891357421875,-122.3711929321289,120.35136413574219
29.73545217514038,2022-03-06 00:26:06.767,47.948909759521484,-122.37117004394531,119.58267974853516
29.73545217514038,2022-03-06 00:26:07.939,47.948909759521484,-122.37115478515625,119.82910919189453
29.73545217514038,2022-03-06 00:26:10.079,47.94890594482422,-122.37113952636719,119.724853515625
29.73545217514038,2022-03-06 00:26:12.767,47.948917388916016,-122.37113189697266,119.20858001708984
29.73545217514038,2022-03-06 00:26:14.303,47.94892501831055,-122.37112426757812,119.32919311523438
29.73545217514038,2022-03-06 00:26:18.002,47.948917388916016,-122.3711166381836,119.5326919555664
29.73545217514038,2022-03-06 00:26:20.381,47.948909759521484,-122.37110900878906,118.44317626953125
29.73545217514038,2022-03-06 00:26:22.767,47.94889831542969,-122.37110137939453,118.36959075927734
29.73545217514038,2022-03-06 00:26:24.278,47.948890686035156,-122.37109375,118.36959075927734
29.73545217514038,2022-03-06 00:26:26.621,47.94887924194336,-122.37108612060547,117.38445281982422
29.73545217514038,2022-03-06 00:26:28.773,47.948875427246094,-122.3710708618164,117.364013671875
37.545796394348145,2022-03-06 00:26:31.224,47.94887161254883,-122.37105560302734,117.364013671875
37.545796394348145,2022-03-06 00:26:32.760,47.9488639831543,-122.37104797363281,116.14604949951172
37.545796394348145,2022-03-06 00:26:35.762,47.948856353759766,-122.37104034423828,116.25475311279297
37.545796394348145,2022-03-06 00:26:38.758,47.94884490966797,-122.37104034423828,115.1535873413086
37.545796394348145,2022-03-06 00:26:42.763,47.94883728027344,-122.37102508544922,115.0371322631836
37.545796394348145,2022-03-06 00:26:46.772,47.948829650878906,-122.37102508544922,114.16070556640625
37.545796394348145,2022-03-06 00:26:55.387,47.948822021484375,-122.37101745605469,113.64336395263672
