Latitude, Longitude

47.94898986816406, -122.3666763305664
47.948997497558594, -122.36697387695312
47.94910430908203, -122.36796569824219
47.9489860534668, -122.36659240722656
47.94898223876953, -122.36662292480469
47.948974609375, -122.36663818359375
47.9489631652832, -122.36663055419922
47.94894790649414, -122.36662292480469
47.948936462402344, -122.36661529541016
47.94892883300781, -122.3666000366211
47.948917388916016, -122.36659240722656
47.94890594482422, -122.36658477783203
47.948890686035156, -122.3665771484375
47.948883056640625, -122.36656951904297
47.94887161254883, -122.3665542602539
47.9488639831543, -122.36654663085938
47.9488525390625, -122.36653900146484
47.94884490966797, -122.36653137207031
47.948829650878906, -122.36651611328125
47.948822021484375, -122.36651611328125
47.94880676269531, -122.36650848388672
47.948795318603516, -122.36649322509766
47.94878005981445, -122.36648559570312
47.94876480102539, -122.3664779663086
47.94874954223633, -122.36646270751953
47.948734283447266, -122.366455078125
47.9487190246582, -122.36644744873047
47.94870376586914, -122.36643981933594
47.94868850708008, -122.3664321899414
47.948673248291016, -122.36641693115234
47.94865798950195, -122.36640930175781
47.94864273071289, -122.36639404296875
47.94862747192383, -122.36638641357422
47.94861602783203, -122.36637878417969
47.948604583740234, -122.36637115478516
47.94859313964844, -122.3663558959961
47.94858169555664, -122.36634826660156
47.948570251464844, -122.3663330078125
47.94855880737305, -122.36632537841797
47.94854736328125, -122.36631774902344
47.94853591918945, -122.36630249023438
47.948524475097656, -122.36629486083984
47.948516845703125, -122.36627960205078
47.94850540161133, -122.36626434326172
47.94849395751953, -122.36625671386719
47.948482513427734, -122.36624908447266
47.9484748840332, -122.3662338256836
47.948463439941406, -122.36622619628906
47.948455810546875, -122.36621856689453
47.94844436645508, -122.36620330810547
47.94843673706055, -122.36619567871094
47.948429107666016, -122.3661880493164
47.94841766357422, -122.36618041992188
47.94841003417969, -122.36617279052734
47.948402404785156, -122.36616516113281
47.948394775390625, -122.36614990234375
47.948387145996094, -122.36614227294922
47.94837951660156, -122.36613464355469
47.948368072509766, -122.36611938476562
47.948360443115234, -122.36610412597656
47.94834518432617, -122.36609649658203
47.948333740234375, -122.36608123779297
47.94832229614258, -122.3660659790039
47.94831085205078, -122.36605072021484
47.94830322265625, -122.36603546142578
47.94829177856445, -122.36601257324219
47.94828414916992, -122.3659896850586
47.948272705078125, -122.365966796875
47.94826126098633, -122.3659439086914
47.9482536315918, -122.36593627929688
47.94824981689453, -122.36592102050781
47.9482421875, -122.36590576171875
47.94823455810547, -122.36589813232422
47.94822692871094, -122.36588287353516
47.94821548461914, -122.3658676147461
47.948204040527344, -122.36585998535156
47.94819259643555, -122.36585235595703
47.948177337646484, -122.36583709716797
47.94816207885742, -122.36582946777344
47.94813919067383, -122.36581420898438
47.94812774658203, -122.36580657958984
47.948116302490234, -122.36579895019531
47.94810485839844, -122.36579895019531
47.948089599609375, -122.36579132080078
47.94807815551758, -122.36578369140625
47.948062896728516, -122.36578369140625
47.94804763793945, -122.36576843261719
47.94803237915039, -122.36576080322266
47.948020935058594, -122.36575317382812
47.94800567626953, -122.36573791503906
47.947998046875, -122.36572265625
47.9479866027832, -122.36570739746094
47.94797897338867, -122.36569213867188
47.94796371459961, -122.36567687988281
47.94795227050781, -122.36566162109375
47.947940826416016, -122.36565399169922
47.94792938232422, -122.36564636230469
47.947914123535156, -122.36563873291016
47.947898864746094, -122.36563110351562
47.9478874206543, -122.36561584472656
47.947872161865234, -122.36560821533203
47.94785690307617, -122.3656005859375
