Latitude, Longitude

48.00730895996094, -122.39854431152344
48.00732421875, -122.39855194091797
48.00735092163086, -122.39856719970703
48.00736618041992, -122.39856719970703
48.00736999511719, -122.39859008789062
48.007381439208984, -122.39862060546875
48.007381439208984, -122.39864349365234
48.00738525390625, -122.39867401123047
48.007389068603516, -122.3987045288086
48.007389068603516, -122.39872741699219
48.00739669799805, -122.39875793457031
48.00740051269531, -122.3987808227539
48.00740051269531, -122.39879608154297
48.007408142089844, -122.39883422851562
48.00741195678711, -122.39885711669922
48.00741958618164, -122.39891815185547
48.007423400878906, -122.39894104003906
48.00742721557617, -122.39896392822266
48.00742721557617, -122.39900207519531
48.00743103027344, -122.39903259277344
48.00742721557617, -122.39906311035156
48.00742721557617, -122.39908599853516
48.00743103027344, -122.39915466308594
48.00743103027344, -122.399169921875
48.00743103027344, -122.39918518066406
48.00743103027344, -122.39920043945312
48.0074348449707, -122.39923858642578
48.0074348449707, -122.39926147460938
48.0074348449707, -122.39930725097656
48.00743103027344, -122.39933776855469
48.00742721557617, -122.39936828613281
48.00742721557617, -122.39938354492188
48.007423400878906, -122.3994140625
48.007423400878906, -122.39942932128906
48.007423400878906, -122.39945220947266
48.00742721557617, -122.39949035644531
48.00742721557617, -122.39950561523438
48.00742721557617, -122.3995361328125
48.00743103027344, -122.39958953857422
48.00743103027344, -122.39961242675781
48.00743103027344, -122.3996353149414
48.00743103027344, -122.399658203125
48.0074348449707, -122.39968872070312
48.0074348449707, -122.39971160888672
48.00743865966797, -122.3997573852539
48.007442474365234, -122.3997802734375
48.0074462890625, -122.39979553222656
48.0074462890625, -122.39981842041016
48.0074462890625, -122.39983367919922
48.007450103759766, -122.39985656738281
48.00745391845703, -122.39987182617188
48.0074577331543, -122.39988708496094
48.00746154785156, -122.39990234375
48.00746536254883, -122.3999252319336
48.007469177246094, -122.39997100830078
48.00747299194336, -122.39998626708984
48.007476806640625, -122.4000015258789
48.007484436035156, -122.4000244140625
48.00748825073242, -122.4000473022461
48.00749206542969, -122.40007019042969
48.00749206542969, -122.40008544921875
48.00749588012695, -122.40011596679688
48.00749969482422, -122.40013885498047
48.007503509521484, -122.40015411376953
48.007503509521484, -122.40017700195312
48.00750732421875, -122.40019989013672
48.007511138916016, -122.40023040771484
48.007511138916016, -122.4002456665039
48.007511138916016, -122.4002685546875
48.00751495361328, -122.4002914428711
48.00751495361328, -122.40031433105469
48.00751495361328, -122.40032958984375
48.00751876831055, -122.40035247802734
48.00751876831055, -122.4003677368164
48.00752258300781, -122.400390625
48.00752639770508, -122.40042877197266
48.00752639770508, -122.40043640136719
48.00752639770508, -122.40046691894531
48.00752639770508, -122.40048217773438
48.00752639770508, -122.40050506591797
48.00752639770508, -122.40052795410156
48.00752639770508, -122.40055847167969
48.007530212402344, -122.40057373046875
48.007530212402344, -122.40059661865234
48.007530212402344, -122.40061950683594
48.00753402709961, -122.400634765625
48.00753402709961, -122.4006576538086
48.00753402709961, -122.40067291259766
48.007537841796875, -122.40070343017578
48.007537841796875, -122.40071868896484
48.00754165649414, -122.40074157714844
48.00754165649414, -122.40076446533203
48.00754928588867, -122.40078735351562
48.00755310058594, -122.40081787109375
48.0075569152832, -122.40084838867188
48.007564544677734, -122.40087127685547
48.007568359375, -122.40089416503906
48.00757598876953, -122.40091705322266
48.0075798034668, -122.40094757080078
48.007572174072266, -122.4009780883789
48.007564544677734, -122.40098571777344
48.0075569152832, -122.40099334716797
48.00754928588867, -122.40100860595703
48.007537841796875, -122.40100860595703
48.00752639770508, -122.4010009765625
48.00750732421875, -122.40099334716797
48.007484436035156, -122.40098571777344
48.00746154785156, -122.40098571777344
48.007450103759766, -122.40098571777344
48.007442474365234, -122.4009780883789
48.00742721557617, -122.4009780883789
48.00741958618164, -122.40097045898438
48.00741195678711, -122.40096282958984
48.00739669799805, -122.40094757080078
48.007381439208984, -122.40093231201172
48.00736618041992, -122.40090942382812
48.007347106933594, -122.40087890625
48.0073356628418, -122.4008560180664
48.007328033447266, -122.40084838867188
48.00731658935547, -122.40082550048828
48.00730514526367, -122.40081024169922
48.00728988647461, -122.4007797241211
48.00727081298828, -122.4007568359375
48.00726318359375, -122.40074157714844
48.00724792480469, -122.40072631835938
48.007240295410156, -122.40071868896484
48.00721740722656, -122.40069580078125
48.007205963134766, -122.40068817138672
48.0071907043457, -122.40068817138672
48.00717544555664, -122.40068054199219
48.00716018676758, -122.40068817138672
48.007083892822266, -122.40068054199219
48.00706481933594, -122.40067291259766
48.007049560546875, -122.40066528320312
48.00703430175781, -122.40066528320312
48.007015228271484, -122.4006576538086
48.00700378417969, -122.40065002441406
48.00699234008789, -122.40064239501953
48.00697708129883, -122.400634765625
48.00696563720703, -122.40062713623047
48.006954193115234, -122.4006118774414
48.00693893432617, -122.40060424804688
48.00690841674805, -122.40057373046875
48.006900787353516, -122.40056610107422
48.00688171386719, -122.40055084228516
48.00686264038086, -122.40055084228516
48.00685119628906, -122.40055847167969
48.00684356689453, -122.40056610107422
48.006832122802734, -122.40057373046875
48.00680923461914, -122.40058135986328
48.00680160522461, -122.40058898925781
48.00679016113281, -122.40060424804688
48.006778717041016, -122.4006118774414
48.00676727294922, -122.40062713623047
48.00675582885742, -122.40062713623047
48.006736755371094, -122.40065002441406
48.0067253112793, -122.40065002441406
48.0067138671875, -122.4006576538086
48.0067024230957, -122.40067291259766
48.00669479370117, -122.40068817138672
48.00668716430664, -122.40069580078125
48.00667953491211, -122.40071105957031
48.00667190551758, -122.40072631835938
48.00666427612305, -122.40074157714844
