"xmlns","ns2","ns3","ns4","ns5","xsi","schemaLocation","Activities__Activity__Sport","Activities__Activity__Id","Activities__Activity__Lap__StartTime","Activities__Activity__Lap__Track__Trackpoint__DistanceMeters","Activities__Activity__Lap__Track__Trackpoint__Time","Activities__Activity__Lap__Track__Trackpoint__Position__LatitudeDegrees","Activities__Activity__Lap__Track__Trackpoint__Position__LongitudeDegrees","Activities__Activity__Lap__Track__Trackpoint__AltitudeMeters","Activities__Activity__Lap__DistanceMeters","Activities__Activity__Lap__TotalTimeSeconds","Activities__Activity__Lap__Calories","Activities__Activity__Lap__Intensity","Activities__Activity__Lap__TriggerMethod","Author__xsi:type","Author__Name","Author__Build__Version__VersionMajor","Author__Build__Version__VersionMinor","Author__Build__Version__BuildMajor","Author__Build__Version__BuildMinor","Author__LangID","Author__PartNumber"
"http://www.garmin.com/xmlschemas/TrainingCenterDatabase/v2","http://www.garmin.com/xmlschemas/UserProfile/v2","http://www.garmin.com/xmlschemas/ActivityExtension/v2","http://www.garmin.com/xmlschemas/ProfileExtension/v1","http://www.garmin.com/xmlschemas/ActivityGoals/v1","http://www.w3.org/2001/XMLSchema-instance","http://www.garmin.com/xmlschemas/TrainingCenterDatabase/v2 http://www.garmin.com/xmlschemas/TrainingCenterDatabasev2.xsd","Hiking","2022-06-30T22:55:07.522Z","2022-06-30T22:55:07.522Z","0.0","2022-06-30T22:55:07.522Z","","","","867.4410514831543","4416.822","537.3799362182617","Active","Manual","Application_t","Google Fit","0","0","0","0","en","000-00000-00"
"","","","","","","","","","","0.0","2022-06-30T22:55:08.694Z","47.949100494384766","-122.36797332763672","129.39999389648438","","","","","","","","","","","","",""
"","","","","","","","","","","9.520218849182129","2022-06-30T22:55:13.704Z","47.94908905029297","-122.36796569824219","129.39999389648438","","","","","","","","","","","","",""
"","","","","","","","","","","9.520218849182129","2022-06-30T22:55:16.024Z","47.9490966796875","-122.36795806884766","129.39999389648438","","","","","","","","","","","","",""
"","","","","","","","","","","9.520218849182129","2022-06-30T22:55:17.783Z","47.94908905029297","-122.3679428100586","129.39999389648438","","","","","","","","","","","","",""
"","","","","","","","","","","9.520218849182129","2022-06-30T22:55:19.561Z","47.949100494384766","-122.367919921875","129.39999389648438","","","","","","","","","","","","",""
"","","","","","","","","","","9.520218849182129","2022-06-30T22:55:23.425Z","47.94911193847656","-122.367919921875","129.39999389648438","","","","","","","","","","","","",""
"","","","","","","","","","","9.520218849182129","2022-06-30T22:55:25.641Z","47.949119567871094","-122.36791229248047","129.39999389648438","","","","","","","","","","","","",""
"","","","","","","","","","","9.520218849182129","2022-06-30T22:55:29.599Z","47.9491081237793","-122.36791229248047","129.39999389648438","","","","","","","","","","","","",""
"","","","","","","","","","","28.253687858581543","2022-06-30T22:55:34.023Z","47.94911575317383","-122.3678970336914","129.39999389648438","","","","","","","","","","","","",""
