date time bpm confidence
11/02/23 08:25:08 70 0
11/02/23 16:30:52 70 0
11/02/23 16:31:07 84 0
11/02/23 16:31:12 87 1
11/02/23 16:31:17 86 1
11/02/23 16:31:22 87 2
11/02/23 16:31:27 86 2
11/02/23 16:31:42 86 2
11/02/23 16:31:47 87 2
11/02/23 16:31:54 87 2
11/02/23 16:31:59 88 2
11/02/23 16:32:04 88 1
11/02/23 16:32:09 89 1
11/02/23 16:32:14 89 2
11/02/23 16:32:19 89 1
11/02/23 16:32:29 92 1
11/02/23 16:32:34 96 1
11/02/23 16:32:39 100 1
11/02/23 16:32:44 105 1
11/02/23 16:32:49 112 1
11/02/23 16:32:54 114 0
11/02/23 16:32:59 115 0
11/02/23 16:33:04 112 0
11/02/23 16:33:09 112 1
11/02/23 16:33:14 118 0
11/02/23 16:33:28 121 0
11/02/23 16:33:43 120 0
11/02/23 16:33:48 117 0
11/02/23 16:33:53 112 0
11/02/23 16:33:58 109 0
11/02/23 16:34:03 114 0
11/02/23 16:34:08 120 0
11/02/23 16:34:13 123 0
11/02/23 16:34:18 124 1
11/02/23 16:34:23 125 1
11/02/23 16:34:28 124 1
11/02/23 16:34:33 122 1
11/02/23 16:34:38 118 1
11/02/23 16:34:43 119 1
11/02/23 16:34:48 117 1
11/02/23 16:34:58 118 1
11/02/23 16:35:08 115 1
11/02/23 16:35:13 110 1
11/02/23 16:35:18 109 1
11/02/23 16:35:23 108 1
11/02/23 16:35:28 108 2
11/02/23 16:35:33 107 2
11/02/23 16:35:38 108 2
11/02/23 16:35:53 108 2
11/02/23 16:36:03 109 2
11/02/23 16:36:08 106 2
11/02/23 16:36:13 108 2
11/02/23 16:36:18 111 2
11/02/23 16:36:23 113 2
11/02/23 16:36:28 112 2
11/02/23 16:36:33 113 2
11/02/23 16:36:43 113 1
11/02/23 16:36:48 115 1
11/02/23 16:36:58 109 1
11/02/23 16:37:03 105 1
11/02/23 16:37:08 104 1
11/02/23 16:37:13 105 1
11/02/23 16:37:18 107 2
11/02/23 16:37:23 108 1
11/02/23 16:37:38 108 1
11/02/23 16:37:43 104 1
11/02/23 16:37:48 103 1
11/02/23 16:37:53 103 2
11/02/23 16:37:58 102 2
11/02/23 16:38:03 100 1
11/02/23 16:38:13 102 1
11/02/23 16:38:18 107 1
11/02/23 16:38:23 109 1
11/02/23 16:38:28 105 1
11/02/23 16:38:33 102 1
11/02/23 16:38:48 102 2
11/02/23 16:38:58 99 2
11/02/23 16:39:03 95 1
11/02/23 16:39:08 94 1
