date time bpm confidence
11/28/23 15:58:09 70 0
11/28/23 15:58:24 70 0
11/28/23 15:58:39 70 0
11/28/23 15:58:49 76 0
11/28/23 15:58:54 85 0
11/28/23 15:58:59 87 1
11/28/23 15:59:04 85 1
11/28/23 15:59:09 84 2
11/28/23 15:59:14 85 2
11/28/23 15:59:19 82 2
11/28/23 15:59:24 81 2
11/28/23 15:59:29 79 2
11/28/23 15:59:34 80 2
11/28/23 15:59:49 80 2
11/28/23 16:00:04 80 2
11/28/23 16:00:09 81 2
11/28/23 16:00:24 81 2
11/28/23 16:00:38 82 2
11/28/23 16:00:53 83 2
11/28/23 16:00:58 84 2
11/28/23 16:01:03 88 2
11/28/23 16:01:08 90 2
11/28/23 16:01:13 89 2
11/28/23 16:01:18 90 2
11/28/23 16:01:23 88 2
11/28/23 16:01:28 86 2
11/28/23 16:01:33 87 2
11/28/23 16:01:38 86 2
11/28/23 16:01:48 88 2
11/28/23 16:01:53 89 2
11/28/23 16:01:58 85 2
11/28/23 16:02:03 83 2
11/28/23 16:02:08 82 2
11/28/23 16:02:13 81 2
11/28/23 16:02:23 82 2
11/28/23 16:02:28 81 2
11/28/23 16:02:38 82 2
11/28/23 16:02:48 83 2
11/28/23 16:02:53 84 2
11/28/23 16:03:04 84 2
11/28/23 16:03:14 85 2
11/28/23 16:03:24 86 2
11/28/23 16:03:29 87 2
11/28/23 16:03:34 85 2
11/28/23 16:03:39 83 2
11/28/23 16:03:44 81 2
11/28/23 16:03:59 83 2
11/28/23 16:04:04 84 2
11/28/23 16:04:09 85 2
11/28/23 16:04:14 84 2
11/28/23 16:04:24 85 2
11/28/23 16:04:29 84 2
11/28/23 16:04:34 83 2
11/28/23 16:04:44 84 2
11/28/23 16:04:49 85 2
11/28/23 16:04:54 87 2
11/28/23 16:04:59 88 2
11/28/23 16:05:04 86 2
11/28/23 16:05:09 84 2
11/28/23 16:05:19 83 2
11/28/23 16:05:29 81 2
11/28/23 16:05:44 80 2
11/28/23 16:05:54 82 2
11/28/23 16:05:59 81 2
11/28/23 16:06:09 83 2
11/28/23 16:06:14 82 2
11/28/23 16:06:19 81 2
11/28/23 16:06:24 80 2
11/28/23 16:06:39 80 2
11/28/23 16:06:44 79 2
11/28/23 16:06:49 80 2
11/28/23 16:06:54 82 2
11/28/23 16:07:09 82 2
11/28/23 16:07:14 81 2
11/28/23 16:07:19 80 2
11/28/23 16:07:24 78 2
11/28/23 16:07:29 73 3
11/28/23 16:07:34 71 3
11/28/23 16:07:44 71 2
11/28/23 16:07:54 67 3
11/28/23 16:07:59 65 3
11/28/23 16:08:04 64 2
11/28/23 16:08:14 63 2
11/28/23 16:08:24 63 3
11/28/23 16:08:29 62 3
11/28/23 16:08:34 61 3
11/28/23 16:08:49 62 3
11/28/23 16:08:54 61 3
