date time bpm confidence
 11/18/24 15:06:31 94 1
 11/18/24 15:06:36 97 1
 11/18/24 15:06:41 103 2
 11/18/24 15:06:51 102 2
 11/18/24 15:06:56 99 2
 11/18/24 15:07:01 94 1
 11/18/24 15:07:06 95 1
 11/18/24 15:07:11 97 2
 11/18/24 15:07:16 100 2
 11/18/24 15:07:21 98 2
 11/18/24 15:07:31 97 2
 11/18/24 15:07:41 100 2
 11/18/24 15:07:46 97 2
 11/18/24 15:07:51 96 2
 11/18/24 15:07:56 95 3
 11/18/24 15:08:01 94 2
 11/18/24 15:08:16 92 2
 11/18/24 15:08:21 88 3
 11/18/24 15:08:26 85 3
 11/18/24 15:08:31 83 2
 11/18/24 15:08:36 82 3
 11/18/24 15:08:46 83 3
 11/18/24 15:08:51 85 3
 11/18/24 15:08:56 84 3
 11/18/24 15:09:01 82 3
 11/18/24 15:09:06 81 3
 11/18/24 15:09:11 80 3
 11/18/24 15:09:16 81 3
 11/18/24 15:09:21 82 3
 11/18/24 15:09:26 81 3
 11/18/24 15:09:31 82 3
 11/18/24 15:09:36 83 3
 11/18/24 15:09:41 85 3
 11/18/24 15:09:46 86 3
 11/18/24 15:09:51 84 3
 11/18/24 15:10:06 83 3
 11/18/24 15:10:11 84 3
 11/18/24 15:10:16 85 3
 11/18/24 15:10:21 84 3
 11/18/24 15:10:31 83 3
 11/18/24 15:10:36 82 3
 11/18/24 15:10:51 83 3
 11/18/24 15:11:01 82 3
 11/18/24 15:11:16 82 3
 11/18/24 15:11:21 81 3
 11/18/24 15:11:36 82 3
 11/18/24 15:11:41 83 3
 11/18/24 15:11:51 82 3
 11/18/24 15:11:56 81 3
 11/18/24 15:12:01 83 3
 11/18/24 15:12:06 81 3
 11/18/24 15:12:11 80 3
 11/18/24 15:12:21 82 3
 11/18/24 15:12:26 81 3
 11/18/24 15:12:31 80 3
 11/18/24 15:12:46 80 3
 11/18/24 15:12:56 81 3
 11/18/24 15:13:01 80 3
 11/18/24 15:13:16 81 3
 11/18/24 15:13:21 83 3
 11/18/24 15:13:26 82 3
 11/18/24 15:13:31 81 3
 11/18/24 15:13:36 80 3
 11/18/24 15:13:46 79 3
 11/18/24 15:13:56 80 3
 11/18/24 15:14:11 80 3
 11/18/24 15:14:26 80 3
 11/18/24 15:14:36 79 3
 11/18/24 15:14:41 78 3
 11/18/24 15:14:56 79 3
 11/18/24 15:15:11 79 3
 11/18/24 15:15:21 80 3
 11/18/24 15:15:26 79 3
 11/18/24 15:15:41 79 3
 11/18/24 15:15:46 81 3
 11/18/24 15:15:51 79 3
