date time bpm confidence
01/10/24 18:58:02 70 0
01/10/24 19:00:22 70 0
01/10/24 19:01:13 70 0
01/10/24 19:02:08 70 0
01/10/24 19:02:23 76 1
01/10/24 19:02:28 70 1
01/10/24 19:02:33 72 1
01/10/24 19:02:38 74 1
01/10/24 19:02:43 75 1
01/10/24 19:02:48 75 2
01/10/24 19:02:58 74 2
01/10/24 19:03:13 74 2
01/10/24 19:03:18 75 2
01/10/24 19:03:23 77 2
01/10/24 19:03:28 78 2
01/10/24 19:03:33 77 2
01/10/24 19:03:38 78 2
01/10/24 19:03:43 79 2
01/10/24 19:03:48 78 2
01/10/24 19:03:58 79 2
01/10/24 19:04:03 78 2
01/10/24 19:04:13 77 2
01/10/24 19:04:23 76 2
01/10/24 19:04:33 75 2
01/10/24 19:04:48 76 2
01/10/24 19:05:03 75 2
01/10/24 19:05:18 77 2
01/10/24 19:05:23 78 1
01/10/24 19:05:28 79 1
01/10/24 19:05:33 80 2
01/10/24 19:05:38 81 2
01/10/24 19:05:53 83 2
01/10/24 19:06:08 84 2
01/10/24 19:06:13 85 2
01/10/24 19:06:18 86 2
01/10/24 19:06:33 85 2
01/10/24 19:06:48 85 2
01/10/24 19:07:03 86 2
01/10/24 19:07:08 87 2
01/10/24 19:07:13 86 2
01/10/24 19:07:28 86 2
01/10/24 19:07:33 81 2
01/10/24 19:07:38 80 2
01/10/24 19:07:43 77 2
01/10/24 19:07:53 78 2
01/10/24 19:07:58 76 2
01/10/24 19:08:03 77 2
01/10/24 19:08:08 75 2
01/10/24 19:08:13 73 2
01/10/24 19:08:23 72 2
01/10/24 19:08:28 71 2
01/10/24 19:08:33 71 1
01/10/24 19:08:43 69 1
01/10/24 19:08:53 69 2
01/10/24 19:09:08 69 2
01/10/24 19:09:18 68 2
01/10/24 19:09:28 66 2
01/10/24 19:09:33 67 2
01/10/24 19:09:48 66 2
01/10/24 19:09:58 68 2
01/10/24 19:10:08 69 2
01/10/24 19:10:18 70 2
01/10/24 19:10:33 70 1
01/10/24 19:10:38 69 2
01/10/24 19:10:48 70 2
01/10/24 19:10:53 71 2
01/10/24 19:11:03 70 2
01/10/24 19:11:13 69 2
01/10/24 19:11:18 69 1
01/10/24 19:11:23 69 2
01/10/24 19:11:33 70 2
01/10/24 19:11:43 71 2
01/10/24 19:11:58 71 2
01/10/24 19:12:03 70 2
01/10/24 19:12:12 70 2
01/10/24 19:12:27 70 2
01/10/24 19:12:37 69 2
01/10/24 19:12:47 68 2
01/10/24 19:13:02 68 2
01/10/24 19:13:17 69 2
01/10/24 19:13:32 68 2
01/10/24 19:13:47 68 2
01/10/24 19:14:02 68 2
01/10/24 19:14:07 67 3
01/10/24 19:14:12 68 2
01/10/24 19:14:27 68 2
01/10/24 19:14:42 69 2
01/10/24 19:14:57 67 2
01/10/24 19:15:07 68 2
01/10/24 19:15:22 68 2
01/10/24 19:15:37 69 2
01/10/24 19:15:52 69 2
01/10/24 19:16:07 69 2
01/10/24 19:16:12 68 2
01/10/24 19:16:27 68 2
01/10/24 19:16:37 69 2
01/10/24 19:16:52 69 2
01/10/24 19:17:02 70 2
01/10/24 19:17:07 71 2
01/10/24 19:17:22 71 2
01/10/24 19:17:37 70 2
01/10/24 19:17:42 70 2
01/10/24 19:17:47 69 2
01/10/24 19:17:57 68 2
01/10/24 19:18:07 69 2
01/10/24 19:18:22 69 2
01/10/24 19:18:27 70 2
01/10/24 19:18:32 71 2
01/10/24 19:18:37 70 2
01/10/24 19:18:52 69 2
01/10/24 19:19:02 68 2
01/10/24 19:19:12 67 2
01/10/24 19:19:27 67 2
01/10/24 19:19:37 68 2
01/10/24 19:19:47 67 2
01/10/24 19:19:57 68 2
01/10/24 19:20:12 68 2
01/10/24 19:20:17 69 2
01/10/24 19:20:22 68 2
01/10/24 19:20:37 69 2
01/10/24 19:20:47 70 2
01/10/24 19:20:52 72 2
01/10/24 19:21:02 71 2
01/10/24 19:21:07 70 2
01/10/24 19:21:17 69 2
01/10/24 19:21:32 69 2
01/10/24 19:21:47 69 2
01/10/24 19:21:52 68 2
01/10/24 19:21:57 67 2
01/10/24 19:22:07 68 2
01/10/24 19:22:12 69 2
01/10/24 19:22:17 70 2
01/10/24 19:22:27 72 2
01/10/24 19:22:32 73 2
01/10/24 19:22:37 72 2
01/10/24 19:22:47 71 1
01/10/24 19:22:52 71 2
01/10/24 19:23:02 70 1
01/10/24 19:23:07 71 1
01/10/24 19:23:12 72 1
01/10/24 19:23:22 73 1
01/10/24 19:23:32 74 2
01/10/24 19:23:37 75 2
01/10/24 19:23:42 77 2
01/10/24 19:23:47 79 2
01/10/24 19:23:52 81 2
01/10/24 19:23:57 81 1
01/10/24 19:24:07 82 1
01/10/24 19:24:18 83 2
01/10/24 19:24:23 85 2
01/10/24 19:24:28 87 2
01/10/24 19:24:33 89 1
01/10/24 19:24:38 93 1
01/10/24 19:24:43 97 1
01/10/24 19:24:48 101 1
01/10/24 19:24:53 103 1
01/10/24 19:24:58 105 2
01/10/24 19:25:03 106 2
01/10/24 19:25:08 111 2
01/10/24 19:25:13 114 2
01/10/24 19:25:18 115 2
01/10/24 19:25:23 120 1
01/10/24 19:25:28 122 2
01/10/24 19:25:33 121 2
01/10/24 19:25:38 120 2
01/10/24 19:25:43 118 2
01/10/24 19:25:48 116 2
01/10/24 19:25:53 117 2
01/10/24 19:25:58 121 2
01/10/24 19:26:03 123 2
01/10/24 19:26:08 122 2
01/10/24 19:26:13 119 2
01/10/24 19:26:18 117 2
01/10/24 19:26:23 115 2
01/10/24 19:26:28 116 2
01/10/24 19:26:33 113 2
01/10/24 19:26:38 110 2
01/10/24 19:26:43 107 2
01/10/24 19:26:48 106 2
01/10/24 19:26:58 103 2
01/10/24 19:27:03 101 2
01/10/24 19:27:08 103 2
01/10/24 19:27:13 107 2
01/10/24 19:27:18 106 2
01/10/24 19:27:23 111 2
01/10/24 19:27:28 113 0
01/10/24 19:27:33 110 2
01/10/24 19:27:43 100 2
01/10/24 19:27:48 101 2
01/10/24 19:27:58 102 2
01/10/24 19:28:03 101 2
01/10/24 19:28:08 100 2
01/10/24 19:28:13 102 2
01/10/24 19:28:18 105 2
01/10/24 19:28:23 107 2
01/10/24 19:28:28 109 2
01/10/24 19:28:33 107 2
01/10/24 19:28:48 111 2
01/10/24 19:28:53 107 2
01/10/24 19:29:04 110 2
01/10/24 19:29:11 113 2
01/10/24 19:29:16 118 2
01/10/24 19:29:21 121 2
01/10/24 19:29:27 122 2
01/10/24 19:29:32 125 2
01/10/24 19:29:37 124 2
01/10/24 19:29:47 125 2
01/10/24 19:29:52 123 2
01/10/24 19:29:57 122 2
01/10/24 19:30:02 123 2
01/10/24 19:30:17 124 2
01/10/24 19:30:22 126 2
01/10/24 19:30:27 127 2
01/10/24 19:30:37 128 2
01/10/24 19:30:47 127 2
01/10/24 19:30:57 128 2
01/10/24 19:31:07 125 2
01/10/24 19:31:12 122 2
01/10/24 19:31:17 120 2
01/10/24 19:31:22 121 2
01/10/24 19:31:32 122 2
01/10/24 19:31:37 119 2
01/10/24 19:31:42 114 2
01/10/24 19:31:47 111 2
01/10/24 19:31:52 110 2
01/10/24 19:32:02 112 2
01/10/24 19:32:07 113 2
01/10/24 19:32:12 109 2
01/10/24 19:32:17 111 2
01/10/24 19:32:27 113 2
01/10/24 19:32:32 115 2
01/10/24 19:32:37 113 2
01/10/24 19:32:42 118 2
01/10/24 19:32:47 116 2
01/10/24 19:32:52 106 2
01/10/24 19:32:57 103 2
01/10/24 19:33:02 112 2
01/10/24 19:33:07 111 2
01/10/24 19:33:12 116 2
01/10/24 19:33:17 113 2
01/10/24 19:33:22 112 2
01/10/24 19:33:27 117 2
01/10/24 19:33:32 126 2
01/10/24 19:33:37 122 2
01/10/24 19:33:42 119 2
01/10/24 19:33:47 113 2
01/10/24 19:33:52 117 2
01/10/24 19:33:57 118 2
01/10/24 19:34:07 120 2
01/10/24 19:34:12 119 2
01/10/24 19:34:17 121 2
01/10/24 19:34:27 122 2
01/10/24 19:34:32 120 2
01/10/24 19:34:37 119 2
01/10/24 19:34:42 118 2
01/10/24 19:34:57 117 2
01/10/24 19:35:02 119 2
01/10/24 19:35:07 120 2
01/10/24 19:35:12 121 2
01/10/24 19:35:17 122 2
01/10/24 19:35:27 124 2
01/10/24 19:35:32 123 2
01/10/24 19:35:37 125 2
01/10/24 19:35:42 124 2
01/10/24 19:35:47 125 2
01/10/24 19:35:52 123 2
01/10/24 19:36:07 124 2
01/10/24 19:36:12 123 2
01/10/24 19:36:17 120 2
01/10/24 19:36:22 117 2
01/10/24 19:36:32 115 2
