date time bpm confidence
11/18/23 08:00:59 70 0
11/18/23 08:23:04 70 0
11/18/23 08:23:19 70 0
11/18/23 08:23:34 70 0
11/18/23 08:23:49 70 0
11/18/23 08:24:04 70 0
11/18/23 08:24:19 70 0
11/18/23 08:24:34 70 0
11/18/23 08:24:49 99 0
11/18/23 08:24:54 117 0
11/18/23 08:24:59 112 0
11/18/23 08:25:04 111 1
11/18/23 08:25:19 114 1
11/18/23 08:25:24 124 1
11/18/23 08:25:29 125 1
11/18/23 08:25:44 125 1
11/18/23 08:25:49 124 1
11/18/23 08:25:54 118 1
11/18/23 08:26:09 118 1
11/18/23 08:26:24 118 1
11/18/23 08:26:39 118 0
11/18/23 08:26:44 115 0
11/18/23 08:26:49 114 0
11/18/23 08:26:54 113 0
11/18/23 08:26:59 111 1
11/18/23 08:27:04 111 0
11/18/23 08:27:09 112 0
11/18/23 08:27:14 113 1
11/18/23 08:27:19 114 0
11/18/23 08:27:29 116 0
11/18/23 08:27:34 121 0
11/18/23 08:27:39 127 0
11/18/23 08:27:44 143 0
11/18/23 08:27:49 165 0
11/18/23 08:27:54 178 0
11/18/23 08:27:59 188 0
11/18/23 08:28:04 187 0
11/18/23 08:28:19 187 0
11/18/23 08:28:24 186 0
11/18/23 08:28:34 186 0
11/18/23 08:28:39 185 0
11/18/23 08:28:44 184 0
11/18/23 08:28:49 183 0
11/18/23 08:28:59 184 0
11/18/23 08:29:14 183 0
11/18/23 08:29:19 182 0
11/18/23 08:29:24 181 0
11/18/23 08:29:29 180 0
11/18/23 08:29:44 180 0
11/18/23 08:29:59 180 0
11/18/23 08:30:14 180 0
11/18/23 08:30:24 181 0
11/18/23 08:30:29 180 0
11/18/23 08:30:44 179 0
11/18/23 08:30:49 178 0
11/18/23 08:31:04 176 0
11/18/23 08:31:19 176 0
11/18/23 08:31:34 176 0
11/18/23 08:31:49 176 1
11/18/23 08:32:04 176 1
11/18/23 08:32:15 176 1
11/18/23 08:32:20 176 0
11/18/23 08:32:30 175 0
11/18/23 08:32:35 173 0
11/18/23 08:32:40 171 0
11/18/23 08:33:02 70 0
11/18/23 09:27:39 70 0
11/18/23 10:22:16 70 0
11/18/23 16:17:02 70 0
11/18/23 16:17:17 70 0
11/18/23 16:17:22 72 0
11/18/23 16:17:27 94 0
11/18/23 16:17:32 98 0
11/18/23 16:17:37 98 1
11/18/23 16:17:47 98 0
11/18/23 16:17:52 98 1
11/18/23 16:18:02 105 1
11/18/23 16:18:07 114 1
11/18/23 16:18:12 108 1
11/18/23 16:18:27 108 0
11/18/23 16:18:42 108 1
11/18/23 16:18:57 108 1
11/18/23 16:19:07 107 1
11/18/23 16:19:22 107 1
11/18/23 16:19:37 107 1
11/18/23 16:19:52 107 1
11/18/23 16:20:07 107 1
11/18/23 16:20:22 108 1
11/18/23 16:20:27 115 1
11/18/23 16:20:32 112 1
11/18/23 16:20:47 112 1
11/18/23 16:20:52 109 1
11/18/23 16:20:57 97 1
11/18/23 16:21:12 96 1
11/18/23 16:21:17 93 1
11/18/23 16:21:22 95 1
11/18/23 16:21:27 94 1
11/18/23 16:21:32 95 1
11/18/23 16:21:47 95 1
11/18/23 16:21:52 94 2
11/18/23 16:21:57 90 2
11/18/23 16:22:02 87 2
11/18/23 16:22:17 89 2
11/18/23 16:22:27 92 2
11/18/23 16:22:32 97 1
11/18/23 16:22:37 100 1
11/18/23 16:22:42 101 1
11/18/23 16:22:52 100 1
11/18/23 16:22:57 99 1
11/18/23 16:23:02 97 1
11/18/23 16:23:07 94 1
11/18/23 16:23:12 99 1
11/18/23 16:23:17 100 1
11/18/23 16:23:27 101 1
11/18/23 16:23:32 100 1
11/18/23 16:23:42 99 1
11/18/23 16:23:52 98 1
11/18/23 16:23:57 98 1
11/18/23 16:24:07 99 1
11/18/23 16:24:12 100 1
11/18/23 16:24:17 101 1
11/18/23 16:24:22 102 1
11/18/23 16:24:27 104 1
11/18/23 16:24:32 106 1
11/18/23 16:24:37 110 1
11/18/23 16:24:42 114 1
11/18/23 16:24:47 117 0
11/18/23 16:24:52 122 0
11/18/23 16:24:57 124 0
11/18/23 16:25:02 127 0
11/18/23 16:25:07 126 0
11/18/23 16:25:12 124 0
11/18/23 16:25:17 122 0
11/18/23 16:25:22 118 0
11/18/23 16:25:27 116 0
11/18/23 16:25:32 116 1
11/18/23 16:25:42 115 1
11/18/23 16:25:47 112 1
11/18/23 16:25:52 110 0
11/18/23 16:25:57 108 0
11/18/23 16:26:02 110 0
11/18/23 16:26:07 112 1
11/18/23 16:26:12 113 1
11/18/23 16:26:22 112 1
11/18/23 16:26:27 112 1
11/18/23 16:26:32 109 1
11/18/23 16:26:37 107 1
11/18/23 16:26:42 104 1
11/18/23 16:26:47 100 1
11/18/23 16:26:52 95 1
11/18/23 16:26:57 94 1
11/18/23 16:27:02 93 1
11/18/23 16:27:17 93 1
11/18/23 16:27:32 94 1
11/18/23 16:27:37 99 1
11/18/23 16:27:42 105 1
11/18/23 16:27:47 112 1
11/18/23 16:27:52 119 1
11/18/23 16:27:57 124 1
11/18/23 16:28:02 123 1
11/18/23 16:28:07 122 1
11/18/23 16:28:12 126 1
11/18/23 16:28:17 130 1
11/18/23 16:28:22 128 1
11/18/23 16:28:27 124 1
11/18/23 16:28:32 122 1
11/18/23 16:28:37 123 1
11/18/23 16:28:42 124 1
11/18/23 16:28:47 122 1
11/18/23 16:28:52 117 0
11/18/23 16:28:57 114 1
11/18/23 16:29:02 114 1
11/18/23 16:29:07 111 1
11/18/23 16:29:12 108 1
11/18/23 16:29:17 110 1
11/18/23 16:29:22 113 1
11/18/23 16:29:27 110 1
11/18/23 16:29:32 109 1
11/18/23 16:29:37 110 1
11/18/23 16:29:42 112 1
11/18/23 16:29:47 113 1
11/18/23 16:29:52 115 1
11/18/23 16:29:57 114 1
11/18/23 16:30:02 117 1
11/18/23 16:30:07 120 1
11/18/23 16:30:18 120 1
11/18/23 16:30:28 119 1
11/18/23 16:30:38 114 1
11/18/23 16:30:43 113 1
11/18/23 16:30:48 115 1
11/18/23 16:30:53 118 1
11/18/23 16:30:58 115 1
11/18/23 16:31:03 112 1
11/18/23 16:31:08 113 1
11/18/23 16:31:23 111 1
11/18/23 16:31:28 109 1
11/18/23 16:31:33 112 1
11/18/23 16:31:38 115 1
11/18/23 16:31:43 114 1
11/18/23 16:31:58 114 1
11/18/23 16:32:03 116 1
11/18/23 16:32:13 114 1
11/18/23 16:32:18 109 1
11/18/23 16:32:23 105 1
11/18/23 16:32:28 100 1
11/18/23 16:32:33 98 1
11/18/23 16:32:48 98 1
11/18/23 16:32:59 98 1
11/18/23 16:33:04 99 1
11/18/23 16:33:09 98 1
11/18/23 16:33:14 94 1
11/18/23 16:33:19 96 1
11/18/23 16:33:29 97 1
11/18/23 16:33:34 98 1
11/18/23 16:33:39 101 1
