date time bpm confidence
11/30/23 16:25:59 70 0
11/30/23 16:26:05 70 0
11/30/23 16:26:15 76 0
11/30/23 16:26:20 76 1
11/30/23 16:26:25 77 2
11/30/23 16:26:35 78 2
11/30/23 16:26:40 79 2
11/30/23 16:26:50 75 2
11/30/23 16:26:55 74 2
11/30/23 16:27:05 70 2
11/30/23 16:27:10 66 3
11/30/23 16:27:15 65 2
11/30/23 16:27:25 64 2
11/30/23 16:27:40 63 2
11/30/23 16:27:45 63 3
11/30/23 16:27:50 63 2
11/30/23 16:28:05 63 2
11/30/23 16:28:15 62 2
11/30/23 16:28:20 63 3
11/30/23 16:28:35 62 3
11/30/23 16:28:40 62 2
11/30/23 16:28:45 63 2
11/30/23 16:28:55 64 2
11/30/23 16:29:00 66 1
11/30/23 16:29:05 67 1
11/30/23 16:29:10 70 1
11/30/23 16:29:15 71 1
11/30/23 16:29:20 72 1
11/30/23 16:29:25 72 0
11/30/23 16:29:30 73 0
11/30/23 16:29:35 72 0
11/30/23 16:29:40 73 0
11/30/23 16:29:45 74 0
11/30/23 16:29:50 75 0
11/30/23 16:29:55 75 1
11/30/23 16:30:00 76 1
11/30/23 16:30:05 77 1
11/30/23 16:30:15 78 1
11/30/23 16:30:20 76 1
11/30/23 16:30:25 76 2
11/30/23 16:30:35 78 2
11/30/23 16:30:50 78 2
11/30/23 16:31:00 79 2
11/30/23 16:31:05 80 2
11/30/23 16:31:15 78 2
11/30/23 16:31:20 77 2
11/30/23 16:31:25 76 2
11/30/23 16:31:35 77 2
11/30/23 16:31:50 76 2
11/30/23 16:31:55 75 2
11/30/23 16:32:00 76 2
11/30/23 16:32:10 77 2
11/30/23 16:32:20 78 2
11/30/23 16:32:25 77 2
11/30/23 16:32:30 76 2
11/30/23 16:32:35 75 2
11/30/23 16:32:50 74 2
11/30/23 16:33:05 74 2
11/30/23 16:33:10 75 2
11/30/23 16:33:20 76 2
11/30/23 16:33:25 75 2
11/30/23 16:33:30 74 2
11/30/23 16:33:35 73 2
11/30/23 16:33:45 75 2
11/30/23 16:33:50 76 2
11/30/23 16:33:55 86 2
11/30/23 16:34:00 93 2
11/30/23 16:34:05 95 2
11/30/23 16:34:10 94 2
11/30/23 16:34:15 94 1
11/30/23 16:34:20 93 1
11/30/23 16:34:25 89 1
11/30/23 16:34:30 84 1
11/30/23 16:34:35 84 2
11/30/23 16:34:50 81 2
11/30/23 16:35:00 80 2
11/30/23 16:35:05 79 1
11/30/23 16:35:10 78 1
11/30/23 16:35:15 78 2
11/30/23 16:35:30 78 2
11/30/23 16:35:35 78 1
11/30/23 16:35:40 78 2
11/30/23 16:35:45 79 2
11/30/23 16:35:55 80 2
11/30/23 16:36:10 80 2
11/30/23 16:36:25 79 2
11/30/23 16:36:30 80 2
11/30/23 16:36:45 80 2
11/30/23 16:37:00 80 2
11/30/23 16:37:05 79 2
11/30/23 16:37:10 80 2
11/30/23 16:37:25 80 2
11/30/23 16:37:40 80 2
11/30/23 16:37:45 79 2
11/30/23 16:38:00 78 2
11/30/23 16:38:05 79 2
11/30/23 16:38:10 80 2
11/30/23 16:38:20 81 2
11/30/23 16:38:25 79 2
11/30/23 16:38:31 77 2
11/30/23 16:38:36 78 2
11/30/23 16:38:41 79 2
11/30/23 16:38:46 78 2
11/30/23 16:38:56 79 2
11/30/23 16:39:11 79 2
11/30/23 16:39:21 78 2
11/30/23 16:39:26 77 2
11/30/23 16:39:31 75 2
11/30/23 16:39:36 76 2
11/30/23 16:39:51 76 2
11/30/23 16:39:56 77 2
11/30/23 16:40:01 78 2
11/30/23 16:40:11 76 2
11/30/23 16:40:21 77 2
11/30/23 16:40:31 78 2
11/30/23 16:40:46 78 2
11/30/23 16:40:56 77 2
11/30/23 16:41:11 76 2
11/30/23 16:41:21 75 2
11/30/23 16:41:31 77 2
11/30/23 16:41:36 76 2
11/30/23 16:41:41 74 2
11/30/23 16:41:51 76 2
11/30/23 16:41:56 77 2
11/30/23 16:42:01 76 2
11/30/23 16:42:06 77 2
11/30/23 16:42:11 76 2
11/30/23 16:42:21 77 2
11/30/23 16:42:26 78 2
11/30/23 16:42:31 79 2
11/30/23 16:42:36 80 2
11/30/23 16:42:46 81 2
11/30/23 16:42:56 82 2
11/30/23 16:43:06 81 2
11/30/23 16:43:21 81 2
11/30/23 16:43:36 80 2
11/30/23 16:43:42 80 2
11/30/23 16:43:52 81 2
11/30/23 16:44:07 79 2
11/30/23 16:44:12 78 2
11/30/23 16:44:17 79 2
11/30/23 16:44:22 80 2
11/30/23 16:44:27 81 2
11/30/23 16:44:32 82 2
11/30/23 16:44:47 82 2
11/30/23 16:45:02 80 2
11/30/23 16:45:12 79 1
11/30/23 16:45:17 77 1
11/30/23 16:45:22 76 2
11/30/23 16:45:27 77 2
11/30/23 16:45:37 78 2
11/30/23 16:45:47 77 2
11/30/23 16:46:02 78 2
11/30/23 16:46:07 77 2
11/30/23 16:46:12 76 2
11/30/23 16:46:17 75 2
11/30/23 16:46:22 76 2
11/30/23 16:46:32 77 2
11/30/23 16:46:42 78 2
11/30/23 16:46:47 79 2
11/30/23 16:46:52 78 2
11/30/23 16:46:57 83 3
11/30/23 16:47:02 83 2
11/30/23 16:47:07 83 2
11/30/23 16:47:22 84 2
11/30/23 16:47:37 84 2
11/30/23 16:47:42 82 2
11/30/23 16:47:47 78 2
11/30/23 16:47:52 77 2
11/30/23 16:47:57 79 2
11/30/23 16:48:02 81 2
11/30/23 16:48:07 80 2
11/30/23 16:48:12 79 2
11/30/23 16:48:27 79 2
11/30/23 16:48:32 80 2
11/30/23 16:48:42 79 2
11/30/23 16:48:47 78 2
11/30/23 16:48:57 79 2
