date time bpm confidence
11/01/23 11:51:20 70 0
11/01/23 12:45:58 70 0
11/01/23 13:40:35 70 0
11/01/23 15:01:59 70 0
11/01/23 15:02:14 72 0
11/01/23 15:02:24 70 0
11/01/23 15:02:29 68 1
11/01/23 15:02:39 66 3
11/01/23 15:02:44 65 3
11/01/23 15:02:59 64 3
11/01/23 15:03:04 63 3
11/01/23 15:03:14 64 3
11/01/23 15:03:29 63 3
11/01/23 15:03:44 63 3
11/01/23 15:03:49 62 3
11/01/23 15:03:54 61 3
11/01/23 15:04:04 62 3
11/01/23 15:04:09 63 3
11/01/23 15:04:14 62 3
11/01/23 15:04:19 61 3
11/01/23 15:04:24 62 3
11/01/23 15:04:39 62 3
11/01/23 15:04:49 63 3
11/01/23 15:04:54 64 3
11/01/23 15:05:09 63 3
11/01/23 15:05:24 65 3
11/01/23 15:05:29 64 3
11/01/23 15:05:34 62 3
11/01/23 15:05:49 63 3
11/01/23 15:06:04 62 3
11/01/23 15:06:09 61 3
11/01/23 15:06:24 61 3
11/01/23 15:06:39 61 3
11/01/23 15:06:54 61 3
11/01/23 15:07:04 62 3
11/01/23 15:07:14 61 3
11/01/23 15:07:29 61 3
11/01/23 15:07:44 61 3
11/01/23 15:07:49 62 3
11/01/23 15:07:59 61 3
11/01/23 15:08:14 61 3
11/01/23 15:08:19 60 3
11/01/23 15:08:29 62 3
11/01/23 15:08:34 61 3
11/01/23 15:08:39 60 3
11/01/23 15:08:44 59 3
11/01/23 15:08:54 61 3
11/01/23 15:09:04 60 3
11/01/23 15:09:19 61 3
11/01/23 15:09:24 62 3
11/01/23 15:09:39 61 3
11/01/23 15:09:49 62 3
11/01/23 15:09:57 61 2
11/01/23 15:10:02 62 2
11/01/23 15:10:07 63 3
11/01/23 15:10:17 62 3
11/01/23 15:10:22 61 3
11/01/23 15:10:37 61 3
11/01/23 15:10:47 62 3
11/01/23 15:10:53 62 3
11/01/23 15:10:58 61 2
11/01/23 15:11:03 60 3
11/01/23 15:11:08 58 3
11/01/23 15:11:13 59 3
11/01/23 15:11:18 60 3
11/01/23 15:11:23 61 3
11/01/23 15:11:33 59 3
11/01/23 15:11:43 60 3
11/01/23 15:11:48 62 3
11/01/23 15:11:58 60 3
11/01/23 15:12:13 61 3
11/01/23 15:12:18 62 3
11/01/23 15:12:23 63 3
11/01/23 15:12:33 61 3
11/01/23 15:12:38 60 3
11/01/23 15:12:53 62 3
11/01/23 15:12:58 63 3
11/01/23 15:13:03 62 3
11/01/23 15:13:08 61 3
11/01/23 15:13:18 62 3
11/01/23 15:13:28 63 3
11/01/23 15:13:33 62 3
11/01/23 15:13:38 60 3
11/01/23 15:13:43 59 3
11/01/23 15:13:53 61 3
11/01/23 15:14:03 60 3
11/01/23 15:14:08 59 3
11/01/23 15:14:13 60 3
11/01/23 15:14:28 61 3
11/01/23 15:14:33 62 3
11/01/23 15:14:43 61 3
11/01/23 15:14:58 61 3
11/01/23 15:15:13 60 3
