date time bpm confidence
12/18/23 09:34:39 70 0
12/18/23 16:06:05 70 0
12/18/23 16:06:20 70 0
12/18/23 16:06:35 91 0
12/18/23 16:06:40 108 1
12/18/23 16:06:45 107 1
12/18/23 16:06:50 108 1
12/18/23 16:06:55 105 1
12/18/23 16:07:00 101 1
12/18/23 16:07:11 101 1
12/18/23 16:07:21 100 1
12/18/23 16:07:26 92 1
12/18/23 16:07:31 90 1
12/18/23 16:07:36 89 1
12/18/23 16:07:41 91 1
12/18/23 16:07:46 92 2
12/18/23 16:07:51 91 2
12/18/23 16:07:56 88 2
12/18/23 16:08:01 86 2
12/18/23 16:08:06 87 2
12/18/23 16:08:11 88 2
12/18/23 16:08:16 90 2
12/18/23 16:08:21 89 2
12/18/23 16:08:26 85 2
12/18/23 16:08:31 83 2
12/18/23 16:08:36 81 2
12/18/23 16:08:51 81 2
12/18/23 16:09:06 81 2
12/18/23 16:09:11 82 2
12/18/23 16:09:26 81 2
12/18/23 16:09:31 80 2
12/18/23 16:09:36 81 2
12/18/23 16:09:41 82 2
12/18/23 16:09:46 81 2
12/18/23 16:09:56 82 2
12/18/23 16:10:01 83 2
12/18/23 16:10:06 83 2
12/18/23 16:10:16 82 2
12/18/23 16:10:26 84 2
12/18/23 16:10:41 84 2
12/18/23 16:10:46 85 2
12/18/23 16:10:51 86 2
12/18/23 16:10:56 84 2
12/18/23 16:11:11 86 2
12/18/23 16:11:16 87 2
12/18/23 16:11:21 88 2
12/18/23 16:11:31 86 2
12/18/23 16:11:36 84 2
12/18/23 16:11:41 85 2
12/18/23 16:11:46 87 2
12/18/23 16:11:51 88 2
12/18/23 16:12:01 87 2
12/18/23 16:12:06 88 2
12/18/23 16:12:11 87 2
12/18/23 16:12:16 91 2
12/18/23 16:12:21 97 2
12/18/23 16:12:26 100 2
12/18/23 16:12:31 104 1
12/18/23 16:12:35 109 1
12/18/23 16:12:45 101 1
12/18/23 16:12:50 98 1
12/18/23 16:12:55 100 0
12/18/23 16:13:00 102 0
12/18/23 16:13:05 107 0
12/18/23 16:13:10 103 0
12/18/23 16:13:15 96 0
12/18/23 16:13:20 91 0
12/18/23 16:13:25 88 1
12/18/23 16:13:30 86 1
12/18/23 16:13:35 84 1
12/18/23 16:13:40 83 2
12/18/23 16:13:45 82 2
12/18/23 16:13:50 83 2
12/18/23 16:13:55 84 2
12/18/23 16:14:00 85 2
12/18/23 16:14:05 86 2
12/18/23 16:14:20 85 2
12/18/23 16:14:25 84 2
12/18/23 16:14:35 83 2
12/18/23 16:14:40 82 2
12/18/23 16:14:45 81 2
12/18/23 16:14:55 80 2
12/18/23 16:15:00 79 2
12/18/23 16:15:05 78 2
12/18/23 16:15:15 77 2
12/18/23 16:15:20 77 2
12/18/23 16:15:30 79 2
12/18/23 16:15:35 80 2
12/18/23 16:15:45 79 2
12/18/23 16:15:50 78 2
12/18/23 16:16:00 76 2
12/18/23 16:16:10 77 2
12/18/23 16:16:15 78 2
12/18/23 16:16:30 79 2
12/18/23 16:16:35 80 2
12/18/23 16:16:40 82 2
12/18/23 16:16:45 83 2
12/18/23 16:16:50 84 2
12/18/23 16:17:05 85 2
12/18/23 16:17:20 84 2
12/18/23 16:17:35 84 2
12/18/23 16:17:50 84 2
12/18/23 16:18:00 83 2
12/18/23 16:18:15 82 2
12/18/23 16:18:20 81 2
12/18/23 16:18:30 80 2
12/18/23 16:18:45 79 2
12/18/23 16:18:50 78 2
12/18/23 16:19:05 79 2
12/18/23 16:19:10 80 2
12/18/23 16:19:15 79 2
12/18/23 16:19:25 81 2
12/18/23 16:19:30 80 2
12/18/23 16:19:35 81 2
12/18/23 16:19:40 80 2
12/18/23 16:19:45 78 2
