date time bpm confidence
11/24/23 08:09:59 70 0
11/24/23 16:24:51 70 0
11/24/23 16:25:01 81 0
11/24/23 16:25:06 87 0
11/24/23 16:25:11 77 1
11/24/23 16:25:16 78 1
11/24/23 16:25:21 83 1
11/24/23 16:25:26 83 2
11/24/23 16:25:41 81 2
11/24/23 16:25:51 82 2
11/24/23 16:25:56 83 2
11/24/23 16:26:11 83 2
11/24/23 16:26:16 81 2
11/24/23 16:26:31 82 2
11/24/23 16:26:36 83 2
11/24/23 16:26:51 82 2
11/24/23 16:27:06 82 2
11/24/23 16:27:11 83 2
11/24/23 16:27:21 85 2
11/24/23 16:27:26 86 2
11/24/23 16:27:31 87 2
11/24/23 16:27:46 88 2
11/24/23 16:28:01 87 2
11/24/23 16:28:06 84 2
11/24/23 16:28:21 84 2
11/24/23 16:28:26 85 2
11/24/23 16:28:31 86 2
11/24/23 16:28:36 85 2
11/24/23 16:28:41 84 1
11/24/23 16:28:46 83 1
11/24/23 16:28:51 82 2
11/24/23 16:29:01 83 2
11/24/23 16:29:11 84 2
11/24/23 16:29:16 88 2
11/24/23 16:29:21 93 2
11/24/23 16:29:26 98 1
11/24/23 16:29:31 104 1
11/24/23 16:29:36 109 1
11/24/23 16:29:41 114 1
11/24/23 16:29:46 118 1
11/24/23 16:29:51 121 1
11/24/23 16:29:56 124 1
11/24/23 16:30:01 123 1
11/24/23 16:30:11 125 1
11/24/23 16:30:16 126 1
11/24/23 16:30:21 127 1
11/24/23 16:30:26 126 1
11/24/23 16:30:36 126 0
11/24/23 16:30:41 124 0
11/24/23 16:30:46 127 0
11/24/23 16:30:51 128 0
11/24/23 16:30:56 123 0
11/24/23 16:31:01 118 0
11/24/23 16:31:06 115 0
11/24/23 16:31:11 111 0
11/24/23 16:31:16 108 0
11/24/23 16:31:21 107 0
11/24/23 16:31:26 109 0
11/24/23 16:31:36 107 0
11/24/23 16:31:41 102 0
11/24/23 16:31:46 100 0
11/24/23 16:31:51 103 0
11/24/23 16:31:56 101 0
11/24/23 16:32:01 96 0
11/24/23 16:32:06 97 0
11/24/23 16:32:11 92 0
11/24/23 16:32:16 90 2
11/24/23 16:32:31 91 2
11/24/23 16:32:41 91 1
11/24/23 16:32:46 92 1
11/24/23 16:32:51 89 1
11/24/23 16:32:56 88 1
11/24/23 16:33:01 89 1
11/24/23 16:33:06 90 1
11/24/23 16:33:11 88 1
11/24/23 16:33:16 90 1
11/24/23 16:33:21 92 1
11/24/23 16:33:26 93 1
11/24/23 16:33:31 96 1
11/24/23 16:33:36 97 1
11/24/23 16:33:41 97 1
11/24/23 16:33:46 100 1
11/24/23 16:34:01 102 1
11/24/23 16:34:16 96 1
11/24/23 16:34:21 83 2
11/24/23 16:34:26 81 2
11/24/23 16:34:31 80 2
11/24/23 16:34:46 80 2
11/24/23 16:34:51 81 2
11/24/23 16:35:06 82 2
11/24/23 16:35:16 81 2
11/24/23 16:35:21 80 2
11/24/23 16:35:26 79 2
11/24/23 16:35:31 77 2
11/24/23 16:35:41 76 2
11/24/23 16:35:46 77 2
11/24/23 16:35:51 78 2
11/24/23 16:35:56 79 2
11/24/23 16:36:01 81 2
11/24/23 16:36:06 84 2
11/24/23 16:36:21 85 2
11/24/23 16:36:26 86 2
11/24/23 16:36:31 84 2
11/24/23 16:36:41 85 2
11/24/23 16:36:51 84 2
11/24/23 16:36:56 83 2
11/24/23 16:37:01 83 2
11/24/23 16:37:11 85 2
11/24/23 16:37:16 86 2
11/24/23 16:37:21 87 2
11/24/23 16:37:26 88 2
11/24/23 16:37:41 88 2
11/24/23 16:37:51 88 1
11/24/23 16:37:57 88 1
11/24/23 16:38:02 85 1
11/24/23 16:38:07 87 1
11/24/23 16:38:17 86 1
11/24/23 16:38:22 84 1
11/24/23 16:38:27 82 1
11/24/23 16:38:32 80 2
11/24/23 16:38:37 78 2
11/24/23 16:38:42 71 2
11/24/23 16:38:57 71 2
11/24/23 16:39:12 69 2
11/24/23 16:39:17 65 2
11/24/23 16:39:22 66 2
11/24/23 16:39:32 64 2
11/24/23 16:39:42 63 2
11/24/23 16:39:47 64 2
11/24/23 16:40:05 64 2
11/24/23 16:40:15 63 2
11/24/23 16:40:20 64 2
11/24/23 16:40:35 63 2
11/24/23 16:40:40 64 2
11/24/23 16:40:55 65 2
11/24/23 16:41:00 64 2
11/24/23 16:41:05 61 2
11/24/23 16:41:20 61 2
11/24/23 16:41:25 62 2
11/24/23 16:41:30 63 2
11/24/23 16:41:35 62 2
11/24/23 16:41:50 62 2
11/24/23 16:42:05 61 3
11/24/23 16:42:10 61 2
11/24/23 16:42:20 62 2
11/24/23 16:42:35 62 2
11/24/23 16:42:50 63 3
11/24/23 16:42:55 62 2
11/24/23 16:43:00 63 3
11/24/23 16:43:15 63 2
11/24/23 16:43:30 63 2
11/24/23 16:43:45 64 2
11/24/23 16:43:50 65 3
11/24/23 16:44:00 64 3
11/24/23 16:44:05 63 3
11/24/23 16:44:10 63 2
11/24/23 16:44:15 64 3
11/24/23 16:44:30 65 2
11/24/23 16:44:45 65 2
11/24/23 16:45:00 65 2
11/24/23 16:45:10 66 2
11/24/23 16:45:15 67 2
11/24/23 16:45:20 72 2
11/24/23 16:45:25 73 2
11/24/23 16:45:40 70 2
11/24/23 16:45:45 68 2
11/24/23 16:45:55 66 2
11/24/23 16:46:00 64 3
11/24/23 16:46:10 64 2
11/24/23 16:46:16 64 2
11/24/23 16:46:21 65 2
11/24/23 16:46:36 65 2
11/24/23 16:46:51 65 2
11/24/23 16:47:01 66 2
11/24/23 16:47:11 66 1
11/24/23 16:47:26 66 1
11/24/23 16:47:41 66 1
11/24/23 16:47:51 65 1
11/24/23 16:48:01 65 2
11/24/23 16:48:06 65 1
11/24/23 16:48:21 66 1
11/24/23 16:48:26 67 1
11/24/23 16:48:41 67 1
11/24/23 16:48:56 67 1
11/24/23 16:49:06 68 1
11/24/23 16:49:16 70 1
11/24/23 16:49:21 75 1
11/24/23 16:49:31 74 1
11/24/23 16:49:36 73 1
11/24/23 16:49:41 72 1
11/24/23 16:49:46 73 1
11/24/23 16:49:51 74 1
11/24/23 16:49:56 76 1
11/24/23 16:50:01 77 1
