date time bpm confidence
12/11/23 16:19:05 70 0
12/11/23 16:19:15 76 0
12/11/23 16:19:20 100 0
12/11/23 16:19:25 106 1
12/11/23 16:19:30 85 1
12/11/23 16:19:35 79 1
12/11/23 16:19:40 82 1
12/11/23 16:19:45 79 2
12/11/23 16:19:50 73 2
12/11/23 16:19:55 70 2
12/11/23 16:20:00 69 2
12/11/23 16:20:05 67 1
12/11/23 16:20:10 65 2
12/11/23 16:20:15 67 2
12/11/23 16:20:20 69 2
12/11/23 16:20:25 70 2
12/11/23 16:20:30 71 1
12/11/23 16:20:35 72 1
12/11/23 16:20:40 74 1
12/11/23 16:20:45 73 2
12/11/23 16:20:55 72 2
12/11/23 16:21:00 73 2
12/11/23 16:21:05 73 2
12/11/23 16:21:10 74 2
12/11/23 16:21:15 73 2
12/11/23 16:21:25 75 2
12/11/23 16:21:30 73 2
12/11/23 16:21:35 71 2
12/11/23 16:21:40 70 2
12/11/23 16:21:55 67 2
12/11/23 16:22:00 63 3
12/11/23 16:22:05 62 2
12/11/23 16:22:10 63 2
12/11/23 16:22:15 65 2
12/11/23 16:22:20 66 2
12/11/23 16:22:25 67 1
12/11/23 16:22:30 68 1
12/11/23 16:22:35 70 1
12/11/23 16:22:40 71 1
12/11/23 16:22:45 74 1
12/11/23 16:22:50 75 1
12/11/23 16:23:00 76 2
12/11/23 16:23:10 75 2
12/11/23 16:23:15 76 2
12/11/23 16:23:30 77 2
12/11/23 16:23:35 78 2
12/11/23 16:23:50 79 2
12/11/23 16:24:05 79 2
12/11/23 16:24:20 79 2
12/11/23 16:24:25 79 2
12/11/23 16:24:30 80 2
12/11/23 16:24:35 81 2
12/11/23 16:24:45 80 2
12/11/23 16:24:50 79 2
12/11/23 16:25:00 78 2
12/11/23 16:25:15 77 2
12/11/23 16:25:30 77 2
12/11/23 16:25:45 77 2
12/11/23 16:25:50 78 2
12/11/23 16:25:55 79 2
12/11/23 16:26:05 80 2
12/11/23 16:26:20 81 2
12/11/23 16:26:25 82 2
12/11/23 16:26:40 83 2
12/11/23 16:26:45 85 2
12/11/23 16:27:00 85 2
12/11/23 16:27:15 85 2
