"Date","Simple Date","Outdoor Temperature (°F)","Feels Like (°F)","Dew Point (°F)","Wind Speed (mph)","Wind Gust (mph)","Max Daily Gust (mph)","Wind Direction (°)","Hourly Rain (in/hr)","Event Rain (in)","Daily Rain (in)","Weekly Rain (in)","Monthly Rain (in)","Total Rain (in)","Relative Pressure (inHg)","Humidity (%)","Ultra-Violet Radiation Index","Solar Radiation (W/m^2)","Indoor Temperature (°F)","Indoor Humidity (%)","Absolute Pressure (inHg)","Outdoor Battery","Indoor Feels Like (°F)","Indoor Dew Point (°F)"
2022-12-31T23:55:00-08:00,2022-12-31 23:55:00,42.1,42.1,40.5,0,0,19.5,75,0,0,0.02,3.54,5.9,119.17,30.78,94,0,0,78.4,34,29.5,1,77.5,47.7
2022-12-31T23:50:00-08:00,2022-12-31 23:50:00,41.9,41.9,40.3,0.9,1.1,19.5,250,0,0,0.02,3.54,5.9,119.17,30.78,94,0,0,78.3,34,29.5,1,77.4,47.6
2022-12-31T23:45:00-08:00,2022-12-31 23:45:00,41.9,41.9,40.3,0.7,1.1,19.5,273,0,0,0.02,3.54,5.9,119.17,30.78,94,0,0,78.6,34,29.5,1,77.8,47.9
2022-12-31T23:40:00-08:00,2022-12-31 23:40:00,41.9,41.9,40.6,0.9,1.1,19.5,261,0,0,0.02,3.54,5.9,119.17,30.77,95,0,0,78.4,35,29.5,1,77.6,48.5
2022-12-31T23:35:00-08:00,2022-12-31 23:35:00,41.9,41.9,40.6,2.2,2.2,19.5,175,0,0,0.02,3.54,5.9,119.17,30.78,95,0,0,78.4,35,29.5,1,77.6,48.5
2022-12-31T23:30:00-08:00,2022-12-31 23:30:00,41.7,41.7,40.4,2.2,3.4,19.5,100,0,0,0.02,3.54,5.9,119.17,30.77,95,0,0,78.3,35,29.5,1,77.5,48.4
2022-12-31T23:25:00-08:00,2022-12-31 23:25:00,41.7,41.7,40.6,1.6,3.4,19.5,331,0,0,0.02,3.54,5.9,119.17,30.77,96,0,0,78.3,35,29.5,1,77.5,48.4
2022-12-31T23:20:00-08:00,2022-12-31 23:20:00,41.5,41.5,40.4,1.3,2.2,19.5,200,0,0,0.02,3.54,5.9,119.17,30.77,96,0,0,78.4,35,29.5,1,77.6,48.5
2022-12-31T23:15:00-08:00,2022-12-31 23:15:00,41.5,41.5,40.7,1.1,1.1,19.5,263,0,0,0.02,3.54,5.9,119.17,30.77,97,0,0,78.4,35,29.49,1,77.6,48.5
2022-12-31T23:10:00-08:00,2022-12-31 23:10:00,41.5,41.5,40.7,2.9,4.5,19.5,273,0,0,0.02,3.54,5.9,119.17,30.77,97,0,0,78.4,35,29.49,1,77.6,48.5
2022-12-31T23:05:00-08:00,2022-12-31 23:05:00,41.4,41.4,40.6,1.8,2.2,19.5,211,0,0,0.02,3.54,5.9,119.17,30.76,97,0,0,78.4,35,29.49,1,77.6,48.5
2022-12-31T23:00:00-08:00,2022-12-31 23:00:00,41.4,41.4,40.9,0.9,1.1,19.5,256,0,0,0.02,3.54,5.9,119.17,30.76,98,0,0,78.3,35,29.49,1,77.5,48.4
2022-12-31T22:55:00-08:00,2022-12-31 22:55:00,41.4,41.4,40.9,0,0,19.5,210,0,0,0.02,3.54,5.9,119.17,30.76,98,0,0,78.4,35,29.48,1,77.6,48.5
2022-12-31T22:50:00-08:00,2022-12-31 22:50:00,41.4,41.4,40.6,0,0,19.5,356,0,0,0.02,3.54,5.9,119.17,30.76,97,0,0,78.4,35,29.48,1,77.6,48.5
