"Date","Simple Date","Outdoor Temperature (°F)","Feels Like (°F)","Dew Point (°F)","Wind Speed (mph)","Wind Gust (mph)","Max Daily Gust (mph)","Wind Direction (°)","Rain Rate (in/hr)","Event Rain (in)","Daily Rain (in)","Weekly Rain (in)","Monthly Rain (in)","Total Rain (in)","Relative Pressure (inHg)","Humidity (%)","Ultra-Violet Radiation Index","Solar Radiation (W/m^2)","Indoor Temperature (°F)","Indoor Humidity (%)","Absolute Pressure (inHg)","Outdoor Battery","CO2 battery","Indoor Feels Like (°F)","Indoor Dew Point (°F)"
2025-01-31T21:45:00-08:00,2025-01-31 21:45:00,38.3,38.3,38,0.9,1.1,20.6,7,0.19,0.51,0.44,0.54,1.82,198.91,30.48,99,0,0,78.8,32,29.2,1,1,77.9,46.4
2025-01-31T21:40:00-08:00,2025-01-31 21:40:00,37.9,37.9,37.6,0,0,20.6,341,0.12,0.49,0.42,0.52,1.8,198.88,30.48,99,0,0,78.6,32,29.2,1,1,77.7,46.3
2025-01-31T21:35:00-08:00,2025-01-31 21:35:00,37.9,37.9,37.6,0,0,20.6,302,0.19,0.48,0.41,0.51,1.79,198.87,30.46,99,0,0,78.8,32,29.19,1,1,77.9,46.4
2025-01-31T21:30:00-08:00,2025-01-31 21:30:00,37.9,37.9,37.6,1.6,2.2,20.6,15,0.17,0.47,0.4,0.5,1.78,198.86,30.46,99,0,0,78.4,32,29.19,1,1,77.4,46.1
2025-01-31T21:25:00-08:00,2025-01-31 21:25:00,38.1,38.1,37.8,0.2,1.1,20.6,314,0.19,0.46,0.39,0.49,1.77,198.85,30.46,99,0,0,78.4,32,29.18,1,1,77.4,46.1
2025-01-31T21:20:00-08:00,2025-01-31 21:20:00,38.1,38.1,37.8,0.9,2.2,20.6,249,0.12,0.45,0.38,0.48,1.76,198.84,30.46,99,0,0,78.3,33,29.18,1,1,77.4,46.8
2025-01-31T21:15:00-08:00,2025-01-31 21:15:00,38.1,38.1,37.8,2,3.4,20.6,258,0.05,0.43,0.36,0.46,1.74,198.82,30.45,99,0,0,77.9,33,29.17,1,1,76.9,46.5
2025-01-31T21:10:00-08:00,2025-01-31 21:10:00,38.3,38.3,38,0.4,1.1,20.6,18,0.05,0.43,0.36,0.46,1.74,198.82,30.44,99,0,0,77.7,33,29.16,1,1,76.7,46.3
2025-01-31T21:05:00-08:00,2025-01-31 21:05:00,38.3,38.3,38,2.7,3.4,20.6,125,0.07,0.42,0.35,0.45,1.73,198.81,30.43,99,0,0,77.5,33,29.16,1,1,76.5,46.1
2025-01-31T21:00:00-08:00,2025-01-31 21:00:00,38.3,35.6,38,3.8,4.5,20.6,250,0.12,0.42,0.35,0.45,1.73,198.81,30.43,99,0,0,77.5,33,29.15,1,1,76.5,46.1
2025-01-31T20:55:00-08:00,2025-01-31 20:55:00,38.7,38.7,38.4,1.3,2.2,20.6,24,0.12,0.41,0.34,0.44,1.72,198.8,30.43,99,0,0,77.4,33,29.16,1,1,76.4,46
2025-01-31T20:50:00-08:00,2025-01-31 20:50:00,38.8,38.8,38.5,1.8,2.2,20.6,231,0.14,0.4,0.33,0.43,1.71,198.79,30.43,99,0,0,77.2,33,29.15,1,1,76.2,45.8
2025-01-31T20:45:00-08:00,2025-01-31 20:45:00,38.8,38.8,38.5,1.1,2.2,20.6,222,0.12,0.39,0.32,0.42,1.7,198.78,30.43,99,0,0,77.4,33,29.15,1,1,76.4,46
2025-01-31T20:40:00-08:00,2025-01-31 20:40:00,39.2,39.2,38.9,2.9,4.5,20.6,234,0.17,0.38,0.31,0.41,1.69,198.77,30.42,99,0,0,77.2,33,29.14,1,1,76.2,45.8
2025-01-31T20:35:00-08:00,2025-01-31 20:35:00,39.4,39.4,39.1,0,0,20.6,345,0.19,0.37,0.3,0.4,1.68,198.76,30.42,99,0,0,77,33,29.14,1,1,76,45.7
