Date,Outdoor Temperature,Indoor Temperature,0
2020-03-07 00:00:00,37.9,75.6,0
2020-03-07 00:05:00,37.9,75.6,0
2020-03-07 00:10:00,38.1,75.4,0
2020-03-07 00:15:00,37.9,75.6,0
2020-03-07 00:20:00,37.9,75.6,0
2020-03-07 00:25:00,37.8,75.6,0
2020-03-07 00:30:00,37.9,75.6,0
2020-03-07 00:35:00,37.9,75.6,0
2020-03-07 00:40:00,37.8,75.7,0
2020-03-07 00:45:00,37.9,75.6,0
2020-03-07 00:50:00,38.1,75.6,0
2020-03-07 00:55:00,38.1,75.6,0
2020-03-07 01:00,37.9,75.7,0
2020-03-07 01:05:00,38.1,75.4,0
2020-03-07 01:10:00,38.3,75.4,0
2020-03-07 01:15:00,38.3,75.4,0
2020-03-07 01:20:00,38.3,75.4,0
2020-03-07 01:25:00,38.5,75.4,0
2020-03-07 01:30:00,38.3,75.2,0
2020-03-07 01:35:00,38.3,75.4,0
2020-03-07 01:40:00,38.3,75.2,0
2020-03-07 01:45:00,38.3,75.2,0
2020-03-07 01:50:00,38.3,75.2,0
2020-03-07 01:55:00,38.1,75,0
2020-03-07 02:00,38.3,75,0
2020-03-07 02:05:00,38.3,74.8,0
2020-03-07 02:10:00,38.3,74.8,0
2020-03-07 02:15:00,38.3,74.8,0
2020-03-07 02:20:00,38.1,74.8,0
2020-03-07 02:25:00,37.9,74.7,0
2020-03-07 02:30:00,37.9,74.7,0
2020-03-07 02:35:00,37.9,74.7,0
2020-03-07 02:40:00,37.9,74.7,0
2020-03-07 02:45:00,37.9,74.3,0
2020-03-07 02:50:00,37.9,74.3,0
2020-03-07 02:55:00,37.8,74.5,0
2020-03-07 03:00,37.9,74.1,0
2020-03-07 03:05:00,37.8,74.3,0
2020-03-07 03:10:00,37.9,74.1,0
2020-03-07 03:15:00,37.8,74.1,0
2020-03-07 03:20:00,37.8,74.1,0
2020-03-07 03:25:00,37.8,73.9,0
2020-03-07 03:30:00,37.9,73.9,0
2020-03-07 03:35:00,38.1,73.8,0
2020-03-07 03:40:00,38.1,73.9,0
2020-03-07 03:45:00,38.1,73.9,0
2020-03-07 03:50:00,38.1,73.8,0
2020-03-07 03:55:00,38.3,73.6,0
2020-03-07 04:00,38.5,73.6,0
2020-03-07 04:05:00,38.5,73.4,0
2020-03-07 04:10:00,38.5,73.4,0
2020-03-07 04:15:00,38.7,73.4,0
2020-03-07 04:20:00,38.7,73.4,0
2020-03-07 04:25:00,38.7,73.4,0
2020-03-07 04:30:00,38.8,73.4,0
2020-03-07 04:35:00,38.7,73.2,0
2020-03-07 04:40:00,38.7,73.4,0
2020-03-07 04:45:00,38.5,73.2,0
2020-03-07 04:50:00,38.5,73.2,0
2020-03-07 04:55:00,38.5,73.2,0
2020-03-07 05:00,38.7,73.2,0
2020-03-07 05:05:00,38.7,73.2,0
2020-03-07 05:10:00,38.5,73.2,0
2020-03-07 05:15:00,38.5,73,0
2020-03-07 05:20:00,38.5,73,0
2020-03-07 05:25:00,38.5,72.9,0
2020-03-07 05:30:00,38.5,72.9,0
2020-03-07 05:35:00,38.1,72.9,0
2020-03-07 05:40:00,37.9,72.9,0
2020-03-07 05:45:00,37.6,72.7,0
2020-03-07 05:50:00,37.4,72.9,0
2020-03-07 05:55:00,37.2,72.9,0
2020-03-07 06:00,37.4,72.7,0
2020-03-07 06:05:00,37.4,72.7,0
2020-03-07 06:10:00,37.4,72.9,0
2020-03-07 06:15:00,37.4,72.7,0
2020-03-07 06:20:00,37.4,72.5,0
2020-03-07 06:25:00,37.2,72.5,0
2020-03-07 06:30:00,37.2,72.3,0
2020-03-07 06:35:00,37.4,72.5,0
2020-03-07 06:40:00,37.6,72.5,0
2020-03-07 06:45:00,37.8,72.5,0
2020-03-07 06:50:00,37.8,72.3,0
2020-03-07 06:55:00,37.8,72.3,0
2020-03-07 07:00,37.8,72.3,0
2020-03-07 07:05:00,37.9,72.3,0
2020-03-07 07:10:00,38.1,72.3,0
2020-03-07 07:15:00,38.1,72.3,0
2020-03-07 07:20:00,38.1,72.3,0
2020-03-07 07:25:00,38.3,72.1,0
2020-03-07 07:30:00,38.5,72.3,0
2020-03-07 07:35:00,38.5,72.3,0
2020-03-07 07:40:00,38.5,72.3,0
2020-03-07 07:45:00,38.7,72.3,0
2020-03-07 07:50:00,38.7,72.1,0
2020-03-07 07:55:00,38.8,72.3,0
2020-03-07 08:00,39,72.3,0
2020-03-07 08:05:00,39,72.5,0
2020-03-07 08:10:00,39,72.5,0
2020-03-07 08:15:00,39.2,72.7,0
2020-03-07 08:20:00,39.4,72.5,0
2020-03-07 08:25:00,39.4,72.5,0
2020-03-07 08:30:00,39.6,72.5,0
2020-03-07 08:35:00,39.6,72.7,0
2020-03-07 08:40:00,39.9,72.7,0
2020-03-07 08:45:00,39.9,72.7,0
2020-03-07 08:50:00,39.6,72.9,0
2020-03-07 08:55:00,39.9,73,0
2020-03-07 09:00,39.7,72.9,0
2020-03-07 09:05:00,40.1,72.9,0
2020-03-07 09:10:00,39.9,72.9,0
2020-03-07 09:15:00,39.9,73,0
2020-03-07 09:20:00,39.7,73,0
2020-03-07 09:25:00,39.6,73,0
2020-03-07 09:30:00,39.6,73,0
2020-03-07 09:35:00,39.4,73.2,0
2020-03-07 09:40:00,39.4,73,0
2020-03-07 09:45:00,39.4,73.2,0
2020-03-07 09:50:00,39.6,73.2,0
2020-03-07 09:55:00,39.9,73,0
2020-03-07 10:00,40.1,73.2,0
2020-03-07 10:05:00,40.1,73,0
2020-03-07 10:10:00,39.9,73.2,0
2020-03-07 10:15:00,39.7,73,0
2020-03-07 10:20:00,40.1,73,0
2020-03-07 10:25:00,40.3,73,0
2020-03-07 10:30:00,40.5,73.2,0
2020-03-07 10:35:00,40.8,73,0
2020-03-07 10:40:00,41.5,72.9,0
2020-03-07 10:45:00,41.2,73.2,0
2020-03-07 10:50:00,40.8,73.4,0
2020-03-07 10:55:00,41.2,73.2,0
2020-03-07 11:00,41.2,73.2,0
2020-03-07 11:05:00,41,73.2,0
2020-03-07 11:10:00,41.2,73.2,0
2020-03-07 11:15:00,41.5,73.2,0
2020-03-07 11:20:00,41.5,73.2,0
2020-03-07 11:25:00,41.4,73,0
2020-03-07 11:30:00,41.4,73.2,0
2020-03-07 11:35:00,41.5,73,0
2020-03-07 11:40:00,41.4,73,0
2020-03-07 11:45:00,41.7,73.2,0
2020-03-07 11:50:00,41.5,73.2,0
2020-03-07 11:55:00,41.2,73.2,0
2020-03-07 12:00,40.8,73,0
2020-03-07 12:05:00,40.6,73.2,0
2020-03-07 12:10:00,40.6,73,0
2020-03-07 12:15:00,40.6,73.2,0
2020-03-07 12:20:00,41,73.2,0
2020-03-07 12:25:00,41.2,73.4,0
2020-03-07 12:30:00,42.1,73.6,0
2020-03-07 12:35:00,43,73.6,0
