"Date","Simple Date","Outdoor Temperature (°F)","Feels Like (°F)","Dew Point (°F)","Wind Speed (mph)","Wind Gust (mph)","Max Daily Gust (mph)","Wind Direction (°)","Hourly Rain (in/hr)","Event Rain (in)","Daily Rain (in)","Weekly Rain (in)","Monthly Rain (in)","Total Rain (in)","Relative Pressure (inHg)","Humidity (%)","Ultra-Violet Radiation Index","Solar Radiation (W/m^2)","Indoor Temperature (°F)","Indoor Humidity (%)","Absolute Pressure (inHg)","Outdoor Battery","Indoor Feels Like (°F)","Indoor Dew Point (°F)"
2023-06-30T23:55:00-07:00,2023-06-30 23:55:00,54.7,54.7,49,0.7,1.1,9.2,78,0,0,0,0,1.05,135.57,30.83,81,0,0,77,38,29.56,1,76.2,49.4
2023-06-30T23:50:00-07:00,2023-06-30 23:50:00,54.7,54.7,49,0.9,1.1,9.2,89,0,0,0,0,1.05,135.57,30.84,81,0,0,77,38,29.56,1,76.2,49.4
2023-06-30T23:45:00-07:00,2023-06-30 23:45:00,54.9,54.9,48.8,0.9,1.1,9.2,68,0,0,0,0,1.05,135.57,30.84,80,0,0,77.2,38,29.56,1,76.4,49.6
2023-06-30T23:40:00-07:00,2023-06-30 23:40:00,55,55,48.9,0.9,1.1,9.2,96,0,0,0,0,1.05,135.57,30.83,80,0,0,77.4,38,29.56,1,76.6,49.8
2023-06-30T23:35:00-07:00,2023-06-30 23:35:00,55.2,55.2,49.1,1.1,1.1,9.2,74,0,0,0,0,1.05,135.57,30.83,80,0,0,77,38,29.56,1,76.2,49.4
2023-06-30T23:30:00-07:00,2023-06-30 23:30:00,55.2,55.2,48.8,1.1,1.1,9.2,91,0,0,0,0,1.05,135.57,30.83,79,0,0,77,38,29.56,1,76.2,49.4
2023-06-30T23:25:00-07:00,2023-06-30 23:25:00,55.4,55.4,49,1.3,2.2,9.2,74,0,0,0,0,1.05,135.57,30.83,79,0,0,76.8,38,29.55,1,76,49.3
2023-06-30T23:20:00-07:00,2023-06-30 23:20:00,55.6,55.6,49.2,0.7,1.1,9.2,91,0,0,0,0,1.05,135.57,30.83,79,0,0,77.2,37,29.55,1,76.4,48.9
2023-06-30T23:15:00-07:00,2023-06-30 23:15:00,55.8,55.8,49,1.3,2.2,9.2,65,0,0,0,0,1.05,135.57,30.83,78,0,0,77.2,37,29.55,1,76.4,48.9
2023-06-30T23:10:00-07:00,2023-06-30 23:10:00,55.9,55.9,49.1,1.1,1.1,9.2,110,0,0,0,0,1.05,135.57,30.82,78,0,0,77.4,37,29.55,1,76.6,49.1
2023-06-30T23:05:00-07:00,2023-06-30 23:05:00,56.1,56.1,49.3,1.1,1.1,9.2,92,0,0,0,0,1.05,135.57,30.83,78,0,0,77.4,37,29.55,1,76.6,49.1
2023-06-30T23:00:00-07:00,2023-06-30 23:00:00,56.3,56.3,49.2,0.9,1.1,9.2,99,0,0,0,0,1.05,135.57,30.83,77,0,0,77.4,37,29.55,1,76.6,49.1
2023-06-30T22:55:00-07:00,2023-06-30 22:55:00,56.5,56.5,49.4,1.6,2.2,9.2,57,0,0,0,0,1.05,135.57,30.83,77,0,0,77.5,37,29.55,1,76.7,49.2
2023-06-30T22:50:00-07:00,2023-06-30 22:50:00,56.5,56.5,49,2.2,2.2,9.2,69,0,0,0,0,1.05,135.57,30.83,76,0,0,77.7,37,29.56,1,76.9,49.3
2023-06-30T22:45:00-07:00,2023-06-30 22:45:00,56.7,56.7,49.2,0.9,1.1,9.2,184,0,0,0,0,1.05,135.57,30.83,76,0,0,77.7,37,29.55,1,76.9,49.3
2023-06-30T22:40:00-07:00,2023-06-30 22:40:00,56.8,56.8,49.3,1.8,2.2,9.2,132,0,0,0,0,1.05,135.57,30.83,76,0,0,77.9,37,29.55,1,77.1,49.5
2023-06-30T22:35:00-07:00,2023-06-30 22:35:00,56.8,56.8,49.7,0.2,1.1,9.2,60,0,0,0,0,1.05,135.57,30.83,77,0,0,77.7,37,29.55,1,76.9,49.3
2023-06-30T22:30:00-07:00,2023-06-30 22:30:00,57,57,49.9,0.9,1.1,9.2,83,0,0,0,0,1.05,135.57,30.83,77,0,0,77.9,37,29.55,1,77.1,49.5
2023-06-30T22:25:00-07:00,2023-06-30 22:25:00,57,57,49.9,0.2,1.1,9.2,83,0,0,0,0,1.05,135.57,30.83,77,0,0,78.1,37,29.55,1,77.3,49.7
2023-06-30T22:20:00-07:00,2023-06-30 22:20:00,57.2,57.2,50.1,1.3,2.2,9.2,58,0,0,0,0,1.05,135.57,30.82,77,0,0,78.1,37,29.55,1,77.3,49.7
2023-06-30T22:15:00-07:00,2023-06-30 22:15:00,57.2,57.2,50.1,1.3,2.2,9.2,71,0,0,0,0,1.05,135.57,30.83,77,0,0,78.3,37,29.56,1,77.6,49.9
2023-06-30T22:10:00-07:00,2023-06-30 22:10:00,57.4,57.4,50.2,0.9,1.1,9.2,34,0,0,0,0,1.05,135.57,30.83,77,0,0,78.3,37,29.55,1,77.6,49.9
2023-06-30T22:05:00-07:00,2023-06-30 22:05:00,57.4,57.4,50.2,0.7,1.1,9.2,86,0,0,0,0,1.05,135.57,30.83,77,0,0,78.3,37,29.55,1,77.6,49.9
2023-06-30T22:00:00-07:00,2023-06-30 22:00:00,57.4,57.4,49.9,1.3,2.2,9.2,64,0,0,0,0,1.05,135.57,30.83,76,0,0,78.6,37,29.55,1,77.9,50.1
2023-06-30T21:55:00-07:00,2023-06-30 21:55:00,57.6,57.6,50.1,1.1,1.1,9.2,86,0,0,0,0,1.05,135.57,30.82,76,0,0,78.4,36,29.55,1,77.6,49.2
2023-06-30T21:50:00-07:00,2023-06-30 21:50:00,57.4,57.4,49.9,1.1,1.1,9.2,68,0,0,0,0,1.05,135.57,30.82,76,0,0,78.3,36,29.55,1,77.5,49.1
2023-06-30T21:45:00-07:00,2023-06-30 21:45:00,57.2,57.2,49.7,0,0,9.2,89,0,0,0,0,1.05,135.57,30.82,76,0,0,78.6,36,29.54,1,77.9,49.4
2023-06-30T21:40:00-07:00,2023-06-30 21:40:00,57.2,57.2,49.7,1.1,2.2,9.2,23,0,0,0,0,1.05,135.57,30.82,76,0,0,78.6,36,29.55,1,77.9,49.4
2023-06-30T21:35:00-07:00,2023-06-30 21:35:00,57.2,57.2,49.7,0,0,9.2,61,0,0,0,0,1.05,135.57,30.82,76,0,0,78.8,36,29.54,1,78.1,49.6
2023-06-30T21:30:00-07:00,2023-06-30 21:30:00,56.8,56.8,49,0.9,1.1,9.2,89,0,0,0,0,1.05,135.57,30.81,75,0,0,78.8,36,29.54,1,78.1,49.6
