Date,Outdoor Temperature,Feels Like,Dew Point,Wind Speed,Wind Gust,Max Daily Gust,Wind Direction,Hourly Rain,Event Rain,Daily Rain,Weekly Rain,Monthly Rain,Total Rain,Relative Pressure,Outdoor Humidity,Ultra-Violet Radiation Index,Solar Radiation,Indoor Temperature,Indoor Humidity,Absolute Pressure,Outdoor Battery,Indoor Feels Like,Indoor Dew Point
2021-11-30T23:55:00-08:00,52.9,52.9,50.9,8.1,10.3,30.9,235,0,0.03,0.04,0.5,7.76,72.08,30.91,93,0,0,77.9,42,29.63,1,77.4,52.9
2021-11-30T23:50:00-08:00,53.1,53.1,51.1,2.2,3.4,30.9,280,0,0.03,0.04,0.5,7.76,72.08,30.92,93,0,0,77.9,42,29.64,1,77.4,52.9
2021-11-30T23:45:00-08:00,52.9,52.9,50.9,1.6,2.2,30.9,107,0,0.03,0.04,0.5,7.76,72.08,30.92,93,0,0,77.9,42,29.64,1,77.4,52.9
2021-11-30T23:40:00-08:00,52.9,52.9,50.9,4.7,5.8,30.9,170,0,0.03,0.04,0.5,7.76,72.08,30.91,93,0,0,77.7,43,29.63,1,77.2,53.4
2021-11-30T23:35:00-08:00,52.9,52.9,50.9,4.9,8.1,30.9,256,0,0.03,0.04,0.5,7.76,72.08,30.92,93,0,0,77.4,43,29.64,1,76.9,53.1
2021-11-30T23:30:00-08:00,52.9,52.9,50.9,4.3,5.8,30.9,268,0,0.03,0.04,0.5,7.76,72.08,30.93,93,0,0,77.5,43,29.65,1,77,53.2
2021-11-30T23:25:00-08:00,52.9,52.9,50.9,3.6,5.8,30.9,266,0,0.03,0.04,0.5,7.76,72.08,30.93,93,0,0,77.5,43,29.65,1,77,53.2
2021-11-30T23:20:00-08:00,52.7,52.7,50.7,3.1,3.4,30.9,263,0,0.03,0.04,0.5,7.76,72.08,30.92,93,0,0,77.2,43,29.64,1,76.6,52.9
2021-11-30T23:15:00-08:00,52.9,52.9,50.9,2.2,3.4,30.9,259,0,0.03,0.04,0.5,7.76,72.08,30.91,93,0,0,77.2,43,29.63,1,76.6,52.9
2021-11-30T23:10:00-08:00,52.9,52.9,50.9,6,8.1,30.9,275,0,0.03,0.04,0.5,7.76,72.08,30.93,93,0,0,77.4,43,29.65,1,76.9,53.1
2021-11-30T23:05:00-08:00,52.9,52.9,50.9,2.9,3.4,30.9,184,0,0.03,0.04,0.5,7.76,72.08,30.91,93,0,0,77.2,43,29.63,1,76.6,52.9
2021-11-30T23:00:00-08:00,52.9,52.9,50.9,1.6,2.2,30.9,320,0,0.03,0.04,0.5,7.76,72.08,30.93,93,0,0,77,44,29.66,1,76.5,53.4
2021-11-30T22:55:00-08:00,52.7,52.7,50.7,3.4,5.8,30.9,336,0,0.03,0.04,0.5,7.76,72.08,30.92,93,0,0,77.2,44,29.64,1,76.7,53.6
2021-11-30T22:50:00-08:00,52.7,52.7,50.7,2.9,4.5,30.9,74,0,0.03,0.04,0.5,7.76,72.08,30.92,93,0,0,77.2,44,29.64,1,76.7,53.6
2021-11-30T22:45:00-08:00,52.7,52.7,50.7,6.7,8.1,30.9,243,0,0.03,0.04,0.5,7.76,72.08,30.92,93,0,0,77.2,44,29.64,1,76.7,53.6
2021-11-30T22:40:00-08:00,52.9,52.9,50.9,3.8,5.8,30.9,219,0,0.03,0.04,0.5,7.76,72.08,30.91,93,0,0,77,44,29.64,1,76.5,53.4
2021-11-30T22:35:00-08:00,52.9,52.9,50.9,11.9,15.9,30.9,241,0,0.03,0.04,0.5,7.76,72.08,30.92,93,0,0,77,44,29.64,1,76.5,53.4
2021-11-30T22:30:00-08:00,52.9,52.9,50.9,6.3,8.1,30.9,232,0,0.03,0.04,0.5,7.76,72.08,30.91,93,0,0,77,44,29.64,1,76.5,53.4
2021-11-30T22:25:00-08:00,52.9,52.9,50.9,8.7,11.4,30.9,206,0,0.03,0.04,0.5,7.76,72.08,30.92,93,0,0,77.4,45,29.64,1,77,54.4
2021-11-30T22:20:00-08:00,52.7,52.7,50.7,2.2,2.2,30.9,240,0,0.03,0.04,0.5,7.76,72.08,30.92,93,0,0,77.2,45,29.64,1,76.7,54.2
2021-11-30T22:15:00-08:00,52.7,52.7,51,5.8,9.2,30.9,208,0,0.03,0.04,0.5,7.76,72.08,30.92,94,0,0,77.2,45,29.64,1,76.7,54.2
2021-11-30T22:10:00-08:00,52.7,52.7,51,1.8,3.4,30.9,336,0,0.03,0.04,0.5,7.76,72.08,30.92,94,0,0,77,45,29.65,1,76.5,54
2021-11-30T22:05:00-08:00,52.7,52.7,51,1.3,2.2,30.9,153,0,0.03,0.04,0.5,7.76,72.08,30.91,94,0,0,76.8,45,29.63,1,76.3,53.8
2021-11-30T22:00:00-08:00,52.7,52.7,51,5.1,6.9,30.9,261,0,0.03,0.04,0.5,7.76,72.08,30.91,94,0,0,76.8,45,29.64,1,76.3,53.8
2021-11-30T21:55:00-08:00,52.7,52.7,51,3.4,4.5,30.9,248,0,0.03,0.04,0.5,7.76,72.08,30.92,94,0,0,77,45,29.64,1,76.5,54
2021-11-30T21:50:00-08:00,52.7,52.7,51,1.1,1.1,30.9,143,0,0.03,0.04,0.5,7.76,72.08,30.91,94,0,0,77,45,29.64,1,76.5,54
2021-11-30T21:45:00-08:00,52.5,52.5,50.8,7.2,8.1,30.9,344,0,0.03,0.04,0.5,7.76,72.08,30.92,94,0,0,77.2,45,29.64,1,76.7,54.2
2021-11-30T21:40:00-08:00,52.5,52.5,50.8,8.7,12.5,30.9,256,0,0.03,0.04,0.5,7.76,72.08,30.93,94,0,0,77,45,29.65,1,76.5,54
2021-11-30T21:35:00-08:00,52.5,52.5,50.8,2.9,3.4,30.9,130,0,0.03,0.04,0.5,7.76,72.08,30.92,94,0,0,77.4,46,29.65,1,77,55
2021-11-30T21:30:00-08:00,52.5,52.5,50.8,6,9.2,30.9,224,0,0.03,0.04,0.5,7.76,72.08,30.93,94,0,0,77.4,45,29.65,1,77,54.4
2021-11-30T21:25:00-08:00,52.5,52.5,51.1,6.5,9.2,30.9,209,0,0.03,0.04,0.5,7.76,72.08,30.93,95,0,0,77.4,45,29.65,1,77,54.4
2021-11-30T21:20:00-08:00,52.5,52.5,51.1,4.3,4.5,30.9,248,0,0.03,0.04,0.5,7.76,72.08,30.92,95,0,0,77.5,45,29.65,1,77.1,54.5
2021-11-30T21:15:00-08:00,52.5,52.5,51.1,6,9.2,30.9,205,0,0.03,0.04,0.5,7.76,72.08,30.91,95,0,0,77.7,45,29.64,1,77.3,54.6
2021-11-30T21:10:00-08:00,52.5,52.5,51.1,4.9,8.1,30.9,175,0,0.03,0.04,0.5,7.76,72.08,30.92,95,0,0,77.5,45,29.64,1,77.1,54.5
2021-11-30T21:05:00-08:00,52.3,52.3,50.9,6.5,8.1,30.9,274,0,0.03,0.04,0.5,7.76,72.08,30.92,95,0,0,77.7,44,29.64,1,77.2,54
2021-11-30T21:00:00-08:00,52.3,52.3,50.9,4.7,6.9,30.9,279,0,0.03,0.04,0.5,7.76,72.08,30.92,95,0,0,77.7,45,29.64,1,77.3,54.6
2021-11-30T20:55:00-08:00,52.3,52.3,51.2,3.1,3.4,30.9,215,0,0.03,0.04,0.5,7.76,72.08,30.93,96,0,0,77.9,45,29.65,1,77.5,54.8
2021-11-30T20:50:00-08:00,52.2,52.2,51.1,2.7,5.8,30.9,248,0,0.03,0.04,0.5,7.76,72.08,30.92,96,0,0,77.9,45,29.64,1,77.5,54.8
2021-11-30T20:45:00-08:00,52.2,52.2,51.1,4.7,6.9,30.9,223,0,0.03,0.04,0.5,7.76,72.08,30.93,96,0,0,77.9,44,29.65,1,77.5,54.2
2021-11-30T20:40:00-08:00,52.2,52.2,51.1,8.1,9.2,30.9,250,0,0.03,0.04,0.5,7.76,72.08,30.93,96,0,0,77.9,44,29.66,1,77.5,54.2
2021-11-30T20:35:00-08:00,52.2,52.2,51.1,3.6,4.5,30.9,235,0,0.03,0.04,0.5,7.76,72.08,30.93,96,0,0,78.1,45,29.65,1,77.7,55
2021-11-30T20:30:00-08:00,52.2,52.2,51.1,5.6,8.1,30.9,222,0,0.03,0.04,0.5,7.76,72.08,30.92,96,0,0,77.9,45,29.64,1,77.5,54.8
2021-11-30T20:25:00-08:00,52,52,50.9,8.9,12.5,30.9,245,0,0.03,0.04,0.5,7.76,72.08,30.93,96,0,0,78.1,45,29.65,1,77.7,55
2021-11-30T20:20:00-08:00,52,52,51.2,2.5,4.5,30.9,248,0,0.03,0.04,0.5,7.76,72.08,30.93,97,0,0,77.9,45,29.66,1,77.5,54.8
