"Date","Simple Date","Outdoor Temperature (°F)","Feels Like (°F)","Dew Point (°F)","Wind Speed (mph)","Wind Gust (mph)","Max Daily Gust (mph)","Wind Direction (°)","Hourly Rain (in/hr)","Event Rain (in)","Daily Rain (in)","Weekly Rain (in)","Monthly Rain (in)","Total Rain (in)","Relative Pressure (inHg)","Humidity (%)","Ultra-Violet Radiation Index","Solar Radiation (W/m^2)","Indoor Temperature (°F)","Indoor Humidity (%)","Absolute Pressure (inHg)","Outdoor Battery","CO2 battery","Indoor Feels Like (°F)","Indoor Dew Point (°F)"
2024-08-31T23:55:00-07:00,2024-08-31 23:55:00,65.1,65.1,58.8,0.2,1.1,8.1,276,0,0,0,0.29,2.97,178.93,30.66,80,0,0,78.1,50,29.39,1,1,78,57.9
2024-08-31T23:50:00-07:00,2024-08-31 23:50:00,64.4,64.4,58.4,0,0,8.1,289,0,0,0,0.29,2.97,178.93,30.67,81,0,0,77.9,50,29.39,1,1,77.7,57.7
2024-08-31T23:45:00-07:00,2024-08-31 23:45:00,64.6,64.6,59,0,0,8.1,289,0,0,0,0.29,2.97,178.93,30.67,82,0,0,78.3,50,29.4,1,1,78.2,58.1
2024-08-31T23:41:00-07:00,2024-08-31 23:41:00,64.6,64.6,59,0,0,8.1,289,0,0,0,0.29,2.97,178.93,30.67,82,0,0,78.1,50,29.4,1,1,78,57.9
2024-08-31T23:35:00-07:00,2024-08-31 23:35:00,64.8,64.8,59.2,0,0,8.1,289,0,0,0,0.29,2.97,178.93,30.68,82,0,0,78.1,50,29.4,1,1,78,57.9
2024-08-31T23:30:00-07:00,2024-08-31 23:30:00,64.8,64.8,59.5,0,0,8.1,289,0,0,0,0.29,2.97,178.93,30.67,83,0,0,78.3,50,29.4,1,1,78.2,58.1
2024-08-31T23:25:00-07:00,2024-08-31 23:25:00,64.9,64.9,59.3,0,0,8.1,289,0,0,0,0.29,2.97,178.93,30.68,82,0,0,78.3,50,29.4,1,1,78.2,58.1
2024-08-31T23:21:00-07:00,2024-08-31 23:21:00,65.1,65.1,59.5,0,0,8.1,289,0,0,0,0.29,2.97,178.93,30.67,82,0,0,78.3,50,29.4,1,1,78.2,58.1
2024-08-31T23:15:00-07:00,2024-08-31 23:15:00,65.1,65.1,59.8,0,0,8.1,289,0,0,0,0.29,2.97,178.93,30.68,83,0,0,78.3,50,29.41,1,1,78.2,58.1
2024-08-31T23:10:00-07:00,2024-08-31 23:10:00,64.9,64.9,59.6,0,0,8.1,289,0,0,0,0.29,2.97,178.93,30.68,83,0,0,78.3,50,29.4,1,1,78.2,58.1
2024-08-31T23:05:00-07:00,2024-08-31 23:05:00,65.3,65.3,59.7,0,0,8.1,289,0,0,0,0.29,2.97,178.93,30.68,82,0,0,78.3,50,29.4,1,1,78.2,58.1
2024-08-31T23:01:00-07:00,2024-08-31 23:01:00,65.5,65.5,59.9,0,0,8.1,289,0,0,0,0.29,2.97,178.93,30.68,82,0,0,78.3,50,29.4,1,1,78.2,58.1
2024-08-31T22:55:00-07:00,2024-08-31 22:55:00,64.9,64.9,59.6,0,0,8.1,289,0,0,0,0.29,2.97,178.93,30.67,83,0,0,78.1,50,29.4,1,1,78,57.9
2024-08-31T22:50:00-07:00,2024-08-31 22:50:00,65.3,65.3,60,0,0,8.1,289,0,0,0,0.29,2.97,178.93,30.68,83,0,0,78.3,50,29.4,1,1,78.2,58.1
2024-08-31T22:45:00-07:00,2024-08-31 22:45:00,64.9,64.9,59.6,0,0,8.1,289,0,0,0,0.29,2.97,178.93,30.68,83,0,0,78.3,50,29.41,1,1,78.2,58.1
2024-08-31T22:41:00-07:00,2024-08-31 22:41:00,64.6,64.6,59.7,0.7,1.1,8.1,289,0,0,0,0.29,2.97,178.93,30.67,84,0,0,78.3,50,29.39,1,1,78.2,58.1
2024-08-31T22:35:00-07:00,2024-08-31 22:35:00,64.8,64.8,59.8,0,0,8.1,289,0,0,0,0.29,2.97,178.93,30.68,84,0,0,78.3,50,29.4,1,1,78.2,58.1
2024-08-31T22:30:00-07:00,2024-08-31 22:30:00,64.9,64.9,59.6,0,0,8.1,289,0,0,0,0.29,2.97,178.93,30.68,83,0,0,78.3,50,29.41,1,1,78.2,58.1
2024-08-31T22:25:00-07:00,2024-08-31 22:25:00,64.8,64.8,59.8,0,0,8.1,289,0,0,0,0.29,2.97,178.93,30.68,84,0,0,78.3,50,29.41,1,1,78.2,58.1
