https://www.weather.gov/wrh/climate
Monthly Mean Max Temperature for SEATTLE TACOMA AIRPORT, WA
Click column heading to sort ascending, click again to sort descending.
1994	49.4	46.1	56.9	60.1	67.3	69.2	79.0	76.9	73.8	59.5	47.3	46.5	61.0
1995	52.0	51.3	55.7	59.8	70.0	72.2	76.7	71.7	73.4	59.4	54.5	47.5	62.0
1996	44.2	50.6	54.6	58.7	60.5	70.0	78.5	77.0	67.3	57.5	48.1	44.2	59.3
1997	45.7	48.4	51.1	56.9	67.0	67.0	73.7	78.1	70.8	56.7	55.3	47.4	59.8
1998	46.9	51.2	53.2	58.5	61.3	68.0	77.4	77.3	73.1	59.4	50.9	44.2	60.1
1999	46.0	47.5	50.6	57.3	59.6	65.7	71.7	73.4	70.9	59.4	53.2	46.1	58.5
2000	45.2	49.9	50.9	58.8	60.6	69.3	73.5	72.9	68.6	59.6	48.5	46.0	58.7
2001	47.6	47.7	52.1	55.0	64.9	65.3	71.7	73.8	67.7	56.8	51.5	46.7	58.4
2002	44.7	48.2	47.5	55.7	60.8	70.2	74.2	75.7	70.1	57.9	53.4	47.8	58.9
2003	51.1	47.5	52.4	55.3	62.9	72.4	79.0	76.7	71.7	60.2	48.5	46.6	60.4
2004	44.8	50.9	54.6	62.9	64.8	72.9	78.3	76.0	65.3	59.3	50.2	46.9	60.6
2005	47.4	51.0	56.2	57.9	65.8	67.4	75.3	77.3	68.1	59.7	47.5	47.4	60.1
2006	50.8	49.6	52.7	58.7	66.1	72.2	78.1	77.1	72.4	59.1	49.1	45.8	61.0
2007	43.6	48.7	53.5	58.7	66.4	69.3	77.3	74.8	67.4	57.1	49.4	43.6	59.2
2008	43.6	49.6	49.9	55.1	63.9	66.8	74.9	74.6	69.8	58.2	54.5	40.8	58.5
2009	43.7	48.5	48.0	57.7	65.9	73.1	81.0	74.7	71.6	58.5	52.0	43.7	59.9
2010	51.5	53.1	54.5	56.5	60.8	65.6	74.9	75.2	67.3	59.8	48.3	47.9	59.6
2011	46.2	45.0	51.4	52.2	59.7	67.6	73.6	75.8	73.5	58.0	49.3	44.3	58.0
2012	44.7	48.7	49.2	58.8	63.8	65.7	73.2	78.5	73.2	60.5	52.4	45.0	59.5
2013	43.0	49.0	54.9	57.6	67.3	73.8	79.0	79.0	70.4	57.6	53.7	44.6	60.8
2014	49.3	46.8	55.2	59.8	67.8	70.9	80.4	79.5	73.7	64.3	51.9	50.3	62.5
2015	50.3	54.5	57.9	59.9	68.0	78.9	82.6	79.0	68.5	63.6	49.4	47.1	63.3
2016	49.1	53.6	56.4	65.9	68.8	73.1	76.0	79.5	69.6	60.5	56.0	41.9	62.5
2017	43.7	46.6	51.5	57.3	67.0	72.1	78.3	81.5	73.8	61.1	51.3	45.5	60.8
2018	49.7	45.8	54.0	58.6	70.8	71.9	82.8	79.1	70.5	60.5	53.9	48.9	62.2
2019	51.1	41.8	57.2	59.3	69.7	73.4	76.5	78.3	69.4	58.0	52.6	48.2	61.3
2020	49.3	49.5	51.3	61.0	68.0	70.3	76.8	78.4	74.3	60.2	51.4	49.8	61.7
2021	48.8	46.6	53.2	62.8	65.7	76.6	79.1	77.8	70.3	57.9	53.1	41.9	61.2
2022	46.2	47.9	53.1	54.7	60.0	M	M	M	M	M	M	M	52.4
Mean	45.4	48.8	52.4	57.6	64.6	69.8	75.7	75.4	69.6	59.4	50.6	45.5	59.5
Max	52.0
1995	56.4
1968	59.1
1992	65.9
2016	71.2
1992	78.9
2015	82.8
2018	83.7
1967	76.4
1967	65.4
1987	56.2
1949	50.3
2014	63.3
Min	30.7
1950	40.7
1956	46.1
1955	52.2
2011	57.5
1962	62.7
1971	68.6
1955	68.5
1954	63.1
1972	55.6
1956	40.6
1985	40.1
1990	52.4
