,Date,Outdoor Temperature (°F),Feels Like (°F),Dew Point (°F),Wind Speed (mph),Wind Gust (mph),Max Daily Gust (mph),Wind Direction (°),Hourly Rain (in/hr),Daily Rain (in),Weekly Rain (in),Monthly Rain (in),Event Rain (in),Total Rain (in),Relative Pressure (inHg),Outdoor Humidity (%),Ultra-Violet Radiation Index,Solar Radiation (W/m^2),Indoor Temperature (°F),Indoor Humidity (%),Indoor Feels Like (°F),Indoor Dew Point (°F),Absolute Pressure (inHg)
Low Datetime,2022-05-19,2022-05-19T04:44:00-07:00,2022-05-19T04:44:00-07:00,2022-05-19T16:49:00-07:00,2022-05-19T01:00:00-07:00,2022-05-19T01:00:00-07:00,2022-05-19T00:00:00-07:00,,2022-05-19T01:00:00-07:00,2022-05-19T01:00:00-07:00,2022-05-19T00:00:00-07:00,2022-05-19T00:00:00-07:00,2022-05-19T09:00:00-07:00,2022-05-19T01:00:00-07:00,2022-05-19T00:03:00-07:00,2022-05-19T16:49:00-07:00,2022-05-19T01:00:00-07:00,2022-05-19T01:00:00-07:00,2022-05-19T05:49:00-07:00,2022-05-19T18:04:00-07:00,2022-05-19T05:49:00-07:00,2022-05-19T19:42:00-07:00,2022-05-19T00:03:00-07:00
Average,2022-05-18,49.9,49.2,44.4,3.3,4.8,21.1,WSW,0.01,0.09,0.87,6.48,0.07,100.23,30.77,82,1,148,76.7,35,75.7,47,29.49
High,2022-05-18,59.7,59.7,49.2,17.4,23.9,25.1,,0.07,0.12,0.94,6.79,0.1,100.26,30.87,99,9,933.5,80.2,38,79.7,50,29.59
High Datetime,2022-05-18,2022-05-18T14:20:00-07:00,2022-05-18T14:20:00-07:00,2022-05-18T11:09:00-07:00,2022-05-18T11:24:00-07:00,2022-05-18T11:23:00-07:00,2022-05-18T11:15:00-07:00,,2022-05-18T02:48:00-07:00,2022-05-18T08:47:00-07:00,2022-05-18T08:47:00-07:00,2022-05-18T08:47:00-07:00,2022-05-18T08:47:00-07:00,2022-05-18T08:47:00-07:00,2022-05-18T23:59:00-07:00,2022-05-18T07:30:00-07:00,2022-05-18T12:03:00-07:00,2022-05-18T12:03:00-07:00,2022-05-18T16:51:00-07:00,2022-05-18T09:57:00-07:00,2022-05-18T16:51:00-07:00,2022-05-18T14:55:00-07:00,2022-05-18T23:59:00-07:00
Low,2022-05-18,43.9,38,40.6,0,0,0,,0,0,0,0,0,100.14,30.66,57,0,0,73.4,32,72.1,44.1,29.39
Low Datetime,2022-05-18,2022-05-18T23:59:00-07:00,2022-05-18T05:48:00-07:00,2022-05-18T02:12:00-07:00,2022-05-18T01:07:00-07:00,2022-05-18T01:07:00-07:00,2022-05-18T00:00:00-07:00,,2022-05-18T01:00:00-07:00,2022-05-18T01:00:00-07:00,2022-05-18T00:00:00-07:00,2022-05-18T00:00:00-07:00,2022-05-18T01:00:00-07:00,2022-05-18T01:00:00-07:00,2022-05-18T08:34:00-07:00,2022-05-18T15:47:00-07:00,2022-05-18T01:00:00-07:00,2022-05-18T01:00:00-07:00,2022-05-18T08:14:00-07:00,2022-05-18T18:00:00-07:00,2022-05-18T08:14:00-07:00,2022-05-18T08:14:00-07:00,2022-05-18T08:34:00-07:00
Average,2022-05-17,50.7,50.7,43.4,0.6,0.9,7.1,E,0,0,0.78,6.38,0.28,100.14,30.97,77,1,162.1,77.4,35,76.4,47.8,29.69
High,2022-05-17,62.8,62.8,47.6,6.5,9.2,10.3,,0,0,0.82,6.67,0.81,100.14,31.03,95,8,876.7,82.6,38,81.3,51.4,29.75
High Datetime,2022-05-17,2022-05-17T16:17:00-07:00,2022-05-17T16:17:00-07:00,2022-05-17T12:08:00-07:00,2022-05-17T10:55:00-07:00,2022-05-17T11:42:00-07:00,2022-05-17T12:17:00-07:00,,2022-05-17T01:00:00-07:00,2022-05-17T01:00:00-07:00,2022-05-17T01:00:00-07:00,2022-05-17T01:00:00-07:00,2022-05-17T01:00:00-07:00,2022-05-17T01:00:00-07:00,2022-05-17T11:36:00-07:00,2022-05-17T03:36:00-07:00,2022-05-17T11:34:00-07:00,2022-05-17T11:35:00-07:00,2022-05-17T17:16:00-07:00,2022-05-17T01:00:00-07:00,2022-05-17T17:16:00-07:00,2022-05-17T17:16:00-07:00,2022-05-17T11:36:00-07:00
Low,2022-05-17,43.3,43.3,40.5,0,0,0,,0,0,0,0,0,100.14,30.84,48,0,0,73.6,31,72.4,45.7,29.57
Low Datetime,2022-05-17,2022-05-17T03:24:00-07:00,2022-05-17T03:24:00-07:00,2022-05-17T15:27:00-07:00,2022-05-17T01:01:00-07:00,2022-05-17T01:01:00-07:00,2022-05-17T00:00:00-07:00,,2022-05-17T01:00:00-07:00,2022-05-17T01:00:00-07:00,2022-05-17T00:00:00-07:00,2022-05-17T00:00:00-07:00,2022-05-17T08:00:00-07:00,2022-05-17T01:00:00-07:00,2022-05-17T23:55:00-07:00,2022-05-17T16:11:00-07:00,2022-05-17T01:00:00-07:00,2022-05-17T01:00:00-07:00,2022-05-17T06:01:00-07:00,2022-05-17T17:42:00-07:00,2022-05-17T06:01:00-07:00,2022-05-17T06:01:00-07:00,2022-05-17T23:55:00-07:00
Average,2022-05-16,50.8,50.8,46.9,2.3,3.3,18.3,SW,0,0.03,0.77,6.38,0.8,100.13,30.83,87,1,134.9,76.8,40,76.1,50.6,29.55
High,2022-05-16,56.8,56.8,51.4,9.8,14.8,18.3,,0.12,0.04,0.82,6.67,0.81,100.14,30.97,98,11,1141.8,81.7,44,80.8,52.7,29.69
High Datetime,2022-05-16,2022-05-16T17:05:00-07:00,2022-05-16T17:05:00-07:00,2022-05-16T00:00:00-07:00,2022-05-16T00:04:00-07:00,2022-05-16T00:04:00-07:00,2022-05-16T01:00:00-07:00,,2022-05-16T07:46:00-07:00,2022-05-16T07:58:00-07:00,2022-05-16T07:58:00-07:00,2022-05-16T07:58:00-07:00,2022-05-16T07:58:00-07:00,2022-05-16T07:58:00-07:00,2022-05-16T23:39:00-07:00,2022-05-16T01:04:00-07:00,2022-05-16T11:34:00-07:00,2022-05-16T11:34:00-07:00,2022-05-16T17:19:00-07:00,2022-05-16T00:00:00-07:00,2022-05-16T17:19:00-07:00,2022-05-16T17:16:00-07:00,2022-05-16T23:39:00-07:00
Low,2022-05-16,45.7,44.7,40.4,0,0,10.3,,0,0,0,0,0.77,100.1,30.66,64,0,0,73.4,36,72.4,48.9,29.38
Low Datetime,2022-05-16,2022-05-16T22:17:00-07:00,2022-05-16T22:17:00-07:00,2022-05-16T21:43:00-07:00,2022-05-16T06:53:00-07:00,2022-05-16T06:53:00-07:00,2022-05-16T00:00:00-07:00,,2022-05-16T01:00:00-07:00,2022-05-16T01:00:00-07:00,2022-05-16T00:00:00-07:00,2022-05-16T00:00:00-07:00,2022-05-16T01:00:00-07:00,2022-05-16T01:00:00-07:00,2022-05-16T00:00:00-07:00,2022-05-16T17:17:00-07:00,2022-05-16T01:00:00-07:00,2022-05-16T01:00:00-07:00,2022-05-16T02:35:00-07:00,2022-05-16T17:17:00-07:00,2022-05-16T04:05:00-07:00,2022-05-16T04:05:00-07:00,2022-05-16T00:00:00-07:00
Average,2022-05-15,54.1,54.1,52.6,1.3,1.9,12.8,WSW,0.03,0.32,0.32,5.92,0.33,99.64,30.69,94,0,81.6,76.5,39,75.7,49.8,29.42
High,2022-05-15,63.5,63.5,60.3,11.2,17.2,17.2,,0.54,0.78,0.78,6.63,0.77,100.1,30.86,99,10,1055,78.8,44,78,53.2,29.58
High Datetime,2022-05-15,2022-05-15T14:51:00-07:00,2022-05-15T14:51:00-07:00,2022-05-15T14:50:00-07:00,2022-05-15T22:14:00-07:00,2022-05-15T22:14:00-07:00,2022-05-15T22:14:00-07:00,,2022-05-15T20:50:00-07:00,2022-05-15T20:54:00-07:00,2022-05-15T20:54:00-07:00,2022-05-15T20:54:00-07:00,2022-05-15T20:54:00-07:00,2022-05-15T20:54:00-07:00,2022-05-15T00:00:00-07:00,2022-05-15T17:26:00-07:00,2022-05-15T14:20:00-07:00,2022-05-15T14:20:00-07:00,2022-05-15T00:01:00-07:00,2022-05-15T21:13:00-07:00,2022-05-15T00:01:00-07:00,2022-05-15T18:36:00-07:00,2022-05-15T00:00:00-07:00
Low,2022-05-15,50.4,50.4,47.4,0,0,9.2,,0,0,0,0,0,99.32,30.59,77,0,0,74.8,34,73.9,46.4,29.31
Low Datetime,2022-05-15,2022-05-15T05:05:00-07:00,2022-05-15T05:05:00-07:00,2022-05-15T00:32:00-07:00,2022-05-15T01:01:00-07:00,2022-05-15T01:01:00-07:00,2022-05-15T00:00:00-07:00,,2022-05-15T01:00:00-07:00,2022-05-15T01:00:00-07:00,2022-05-15T01:00:00-07:00,2022-05-15T00:00:00-07:00,2022-05-15T08:00:00-07:00,2022-05-15T01:00:00-07:00,2022-05-15T15:45:00-07:00,2022-05-15T00:00:00-07:00,2022-05-15T01:00:00-07:00,2022-05-15T01:00:00-07:00,2022-05-15T23:58:00-07:00,2022-05-15T00:32:00-07:00,2022-05-15T08:22:00-07:00,2022-05-15T07:48:00-07:00,2022-05-15T15:45:00-07:00
Average,2022-05-14,53.5,53.5,47,2.6,3.7,14.6,WSW,0,0.05,1.32,5.59,0.05,99.3,30.76,79,1,199.7,78.1,33,77,46.9,29.48
High,2022-05-14,66,66,54.8,13.4,22.8,22.8,,0.26,0.07,1.4,5.85,0.07,99.32,30.86,97,9,1010.7,86.7,38,84.1,52.2,29.58
High Datetime,2022-05-14,2022-05-14T15:50:00-07:00,2022-05-14T15:50:00-07:00,2022-05-14T14:58:00-07:00,2022-05-14T17:06:00-07:00,2022-05-14T13:15:00-07:00,2022-05-14T13:15:00-07:00,,2022-05-14T07:42:00-07:00,2022-05-14T07:55:00-07:00,2022-05-14T07:55:00-07:00,2022-05-14T07:55:00-07:00,2022-05-14T07:55:00-07:00,2022-05-14T07:55:00-07:00,2022-05-14T23:22:00-07:00,2022-05-14T08:08:00-07:00,2022-05-14T11:22:00-07:00,2022-05-14T11:22:00-07:00,2022-05-14T18:00:00-07:00,2022-05-14T12:14:00-07:00,2022-05-14T18:00:00-07:00,2022-05-14T14:46:00-07:00,2022-05-14T23:22:00-07:00
Low,2022-05-14,44.8,44.8,40.6,0,0,4.5,,0,0,0,0,0,99.25,30.68,52,0,0,73.8,27,72.4,42.9,29.4
Low Datetime,2022-05-14,2022-05-14T01:00:00-07:00,2022-05-14T01:00:00-07:00,2022-05-14T00:05:00-07:00,2022-05-14T01:00:00-07:00,2022-05-14T01:00:00-07:00,2022-05-14T01:00:00-07:00,,2022-05-14T01:00:00-07:00,2022-05-14T01:00:00-07:00,2022-05-14T00:00:00-07:00,2022-05-14T00:00:00-07:00,2022-05-14T01:00:00-07:00,2022-05-14T01:00:00-07:00,2022-05-14T06:33:00-07:00,2022-05-14T18:05:00-07:00,2022-05-14T01:00:00-07:00,2022-05-14T01:00:00-07:00,2022-05-14T08:13:00-07:00,2022-05-14T18:01:00-07:00,2022-05-14T08:13:00-07:00,2022-05-14T05:41:00-07:00,2022-05-14T06:33:00-07:00
Average,2022-05-13,47,46.8,40,1.1,1.6,11.8,W,0,0,1.27,5.54,0.65,99.25,30.91,78,1,195.3,76.7,32,75.6,44.8,29.63
High,2022-05-13,59,59,45.1,10.1,14.8,14.8,,0,0,1.33,5.78,0.71,99.25,31,99,9,1002,80.6,35,79.8,48.8,29.73
High Datetime,2022-05-13,2022-05-13T14:52:00-07:00,2022-05-13T14:52:00-07:00,2022-05-13T14:57:00-07:00,2022-05-13T09:55:00-07:00,2022-05-13T09:55:00-07:00,2022-05-13T09:55:00-07:00,,2022-05-13T01:00:00-07:00,2022-05-13T01:00:00-07:00,2022-05-13T01:00:00-07:00,2022-05-13T01:00:00-07:00,2022-05-13T01:00:00-07:00,2022-05-13T01:00:00-07:00,2022-05-13T08:33:00-07:00,2022-05-13T01:00:00-07:00,2022-05-13T10:22:00-07:00,2022-05-13T10:49:00-07:00,2022-05-13T14:45:00-07:00,2022-05-13T01:00:00-07:00,2022-05-13T14:45:00-07:00,2022-05-13T14:45:00-07:00,2022-05-13T08:33:00-07:00
Low,2022-05-13,37.6,34.8,35.6,0,0,2.2,,0,0,0,0,0,99.25,30.76,46,0,0,73.2,27,71.8,42.6,29.48
Low Datetime,2022-05-13,2022-05-13T01:30:00-07:00,2022-05-13T04:51:00-07:00,2022-05-13T17:02:00-07:00,2022-05-13T01:01:00-07:00,2022-05-13T01:01:00-07:00,2022-05-13T00:00:00-07:00,,2022-05-13T01:00:00-07:00,2022-05-13T01:00:00-07:00,2022-05-13T00:00:00-07:00,2022-05-13T00:00:00-07:00,2022-05-13T22:00:00-07:00,2022-05-13T01:00:00-07:00,2022-05-13T23:45:00-07:00,2022-05-13T16:46:00-07:00,2022-05-13T01:00:00-07:00,2022-05-13T01:00:00-07:00,2022-05-13T03:26:00-07:00,2022-05-13T16:52:00-07:00,2022-05-13T03:38:00-07:00,2022-05-13T18:37:00-07:00,2022-05-13T23:45:00-07:00
Average,2022-05-12,45.6,45.3,42.7,1.7,2.4,13.1,WSW,0.03,0.24,0.83,5.09,0.24,98.78,30.78,89,0,63.3,75.6,34,74.5,45.4,29.5
High,2022-05-12,53.2,53.2,47.5,10.1,14.8,15.9,,0.42,0.71,1.33,5.78,0.71,99.25,30.87,99,6,729.6,77.4,36,76.4,47.4,29.6
High Datetime,2022-05-12,2022-05-12T10:25:00-07:00,2022-05-12T10:25:00-07:00,2022-05-12T16:14:00-07:00,2022-05-12T13:27:00-07:00,2022-05-12T13:25:00-07:00,2022-05-12T16:50:00-07:00,,2022-05-12T20:41:00-07:00,2022-05-12T21:51:00-07:00,2022-05-12T21:51:00-07:00,2022-05-12T21:51:00-07:00,2022-05-12T21:51:00-07:00,2022-05-12T21:51:00-07:00,2022-05-12T23:58:00-07:00,2022-05-12T22:44:00-07:00,2022-05-12T16:46:00-07:00,2022-05-12T16:46:00-07:00,2022-05-12T12:43:00-07:00,2022-05-12T21:07:00-07:00,2022-05-12T12:43:00-07:00,2022-05-12T17:07:00-07:00,2022-05-12T23:58:00-07:00
Low,2022-05-12,39.6,39.5,39.3,0,0,4.5,,0,0,0,0,0,98.54,30.69,72,0,0,73.6,33,72.2,42.7,29.42
Low Datetime,2022-05-12,2022-05-12T23:56:00-07:00,2022-05-12T19:17:00-07:00,2022-05-12T23:56:00-07:00,2022-05-12T01:22:00-07:00,2022-05-12T01:22:00-07:00,2022-05-12T00:00:00-07:00,,2022-05-12T01:00:00-07:00,2022-05-12T01:00:00-07:00,2022-05-12T00:00:00-07:00,2022-05-12T00:00:00-07:00,2022-05-12T01:00:00-07:00,2022-05-12T01:00:00-07:00,2022-05-12T15:17:00-07:00,2022-05-12T10:25:00-07:00,2022-05-12T01:00:00-07:00,2022-05-12T01:00:00-07:00,2022-05-12T06:07:00-07:00,2022-05-12T01:00:00-07:00,2022-05-12T06:07:00-07:00,2022-05-12T06:07:00-07:00,2022-05-12T15:17:00-07:00
Average,2022-05-11,49,48.7,40.7,2.7,3.8,11.1,NE,0,0,0.59,4.85,0.09,98.54,30.92,75,1,203,76.7,32,75.6,44.6,29.65
High,2022-05-11,59.5,59.5,43,9.6,15.9,15.9,,0.05,0.01,0.62,5.07,0.41,98.54,30.99,96,7,763.5,80.1,38,79.1,48.3,29.71
High Datetime,2022-05-11,2022-05-11T13:27:00-07:00,2022-05-11T13:27:00-07:00,2022-05-11T09:23:00-07:00,2022-05-11T13:56:00-07:00,2022-05-11T22:12:00-07:00,2022-05-11T13:06:00-07:00,,2022-05-11T20:58:00-07:00,2022-05-11T20:58:00-07:00,2022-05-11T20:58:00-07:00,2022-05-11T20:58:00-07:00,2022-05-11T01:00:00-07:00,2022-05-11T20:58:00-07:00,2022-05-11T02:14:00-07:00,2022-05-11T05:37:00-07:00,2022-05-11T11:26:00-07:00,2022-05-11T11:26:00-07:00,2022-05-11T15:26:00-07:00,2022-05-11T09:54:00-07:00,2022-05-11T15:26:00-07:00,2022-05-11T10:13:00-07:00,2022-05-11T02:14:00-07:00
Low,2022-05-11,41.7,39.8,36.7,0,0,0,,0,0,0,0,0,98.53,30.85,45,0,0,73.4,26,72,41.6,29.58
Low Datetime,2022-05-11,2022-05-11T05:34:00-07:00,2022-05-11T07:15:00-07:00,2022-05-11T14:39:00-07:00,2022-05-11T01:00:00-07:00,2022-05-11T01:00:00-07:00,2022-05-11T00:00:00-07:00,,2022-05-11T01:00:00-07:00,2022-05-11T01:00:00-07:00,2022-05-11T00:00:00-07:00,2022-05-11T00:00:00-07:00,2022-05-11T05:00:00-07:00,2022-05-11T01:00:00-07:00,2022-05-11T19:03:00-07:00,2022-05-11T13:26:00-07:00,2022-05-11T01:00:00-07:00,2022-05-11T01:00:00-07:00,2022-05-11T06:25:00-07:00,2022-05-11T15:38:00-07:00,2022-05-11T06:25:00-07:00,2022-05-11T15:38:00-07:00,2022-05-11T19:03:00-07:00
Average,2022-05-10,48.1,48,42.1,1.1,1.6,6.4,N,0.01,0.22,0.58,4.84,0.39,98.52,30.9,82,1,200.2,77.2,31,76.1,44.9,29.63
High,2022-05-10,59.7,59.7,47.1,8.1,9.2,10.3,,0.35,0.24,0.61,5.06,0.41,98.53,30.98,99,10,1029.8,83.8,36,81.4,48.8,29.71
High Datetime,2022-05-10,2022-05-10T16:45:00-07:00,2022-05-10T16:45:00-07:00,2022-05-10T12:45:00-07:00,2022-05-10T13:18:00-07:00,2022-05-10T13:18:00-07:00,2022-05-10T14:27:00-07:00,,2022-05-10T00:26:00-07:00,2022-05-10T07:26:00-07:00,2022-05-10T07:26:00-07:00,2022-05-10T07:26:00-07:00,2022-05-10T07:26:00-07:00,2022-05-10T07:26:00-07:00,2022-05-10T23:21:00-07:00,2022-05-10T02:08:00-07:00,2022-05-10T11:29:00-07:00,2022-05-10T11:29:00-07:00,2022-05-10T18:02:00-07:00,2022-05-10T10:03:00-07:00,2022-05-10T18:02:00-07:00,2022-05-10T13:22:00-07:00,2022-05-10T23:21:00-07:00
Low,2022-05-10,41.9,41.9,36,0,0,0,,0,0,0,0,0.17,98.3,30.78,45,0,0,73.8,25,72.5,41.8,29.51
Low Datetime,2022-05-10,2022-05-10T06:27:00-07:00,2022-05-10T06:27:00-07:00,2022-05-10T16:58:00-07:00,2022-05-10T01:00:00-07:00,2022-05-10T01:00:00-07:00,2022-05-10T00:00:00-07:00,,2022-05-10T01:19:00-07:00,2022-05-10T00:00:00-07:00,2022-05-10T00:00:00-07:00,2022-05-10T00:00:00-07:00,2022-05-10T00:00:00-07:00,2022-05-10T00:00:00-07:00,2022-05-10T00:03:00-07:00,2022-05-10T16:32:00-07:00,2022-05-10T01:00:00-07:00,2022-05-10T01:00:00-07:00,2022-05-10T07:03:00-07:00,2022-05-10T17:58:00-07:00,2022-05-10T07:03:00-07:00,2022-05-10T17:26:00-07:00,2022-05-10T00:03:00-07:00
Average,2022-05-09,47,46.9,41.3,1.2,1.6,7.4,NE,0.01,0.02,0.2,4.46,2.3,98.12,30.65,82,1,223.1,76.9,31,75.8,44.3,29.37
High,2022-05-09,59.5,59.5,45.2,8.1,10.3,10.3,,0.47,0.19,0.37,4.82,3.82,98.3,30.79,97,9,956,82.2,35,80.3,48.4,29.52
High Datetime,2022-05-09,2022-05-09T15:37:00-07:00,2022-05-09T15:37:00-07:00,2022-05-09T12:22:00-07:00,2022-05-09T09:38:00-07:00,2022-05-09T09:38:00-07:00,2022-05-09T09:38:00-07:00,,2022-05-09T22:37:00-07:00,2022-05-09T23:58:00-07:00,2022-05-09T23:58:00-07:00,2022-05-09T23:58:00-07:00,2022-05-09T03:53:00-07:00,2022-05-09T23:58:00-07:00,2022-05-09T23:47:00-07:00,2022-05-09T04:45:00-07:00,2022-05-09T11:05:00-07:00,2022-05-09T13:40:00-07:00,2022-05-09T17:56:00-07:00,2022-05-09T10:12:00-07:00,2022-05-09T17:56:00-07:00,2022-05-09T13:59:00-07:00,2022-05-09T23:47:00-07:00
Low,2022-05-09,40.3,40.3,34.5,0,0,1.1,,0,0,0,0,0,98.1,30.52,46,0,0,73.6,25,72.2,41.1,29.24
Low Datetime,2022-05-09,2022-05-09T00:07:00-07:00,2022-05-09T00:07:00-07:00,2022-05-09T13:28:00-07:00,2022-05-09T01:00:00-07:00,2022-05-09T01:00:00-07:00,2022-05-09T00:00:00-07:00,,2022-05-09T01:00:00-07:00,2022-05-09T01:00:00-07:00,2022-05-09T00:00:00-07:00,2022-05-09T00:00:00-07:00,2022-05-09T14:00:00-07:00,2022-05-09T01:00:00-07:00,2022-05-09T00:10:00-07:00,2022-05-09T13:28:00-07:00,2022-05-09T01:00:00-07:00,2022-05-09T01:00:00-07:00,2022-05-09T06:55:00-07:00,2022-05-09T17:56:00-07:00,2022-05-09T06:55:00-07:00,2022-05-09T18:06:00-07:00,2022-05-09T00:10:00-07:00
Average,2022-05-08,43.9,43.7,40.3,1.6,2.2,9.5,W,0.01,0.09,0.09,4.36,3.71,98.02,30.51,88,1,184.6,76.9,33,75.8,45.7,29.24
High,2022-05-08,53.4,53.4,47.7,8.3,10.3,13.6,,0.54,0.18,0.18,4.63,3.8,98.1,30.58,99,9,1004.6,85.5,35,83.3,51,29.31
High Datetime,2022-05-08,2022-05-08T15:54:00-07:00,2022-05-08T15:54:00-07:00,2022-05-08T14:22:00-07:00,2022-05-08T16:02:00-07:00,2022-05-08T16:02:00-07:00,2022-05-08T16:02:00-07:00,,2022-05-08T10:42:00-07:00,2022-05-08T13:39:00-07:00,2022-05-08T13:39:00-07:00,2022-05-08T13:39:00-07:00,2022-05-08T13:39:00-07:00,2022-05-08T13:39:00-07:00,2022-05-08T00:02:00-07:00,2022-05-08T01:00:00-07:00,2022-05-08T09:54:00-07:00,2022-05-08T11:39:00-07:00,2022-05-08T18:00:00-07:00,2022-05-08T01:00:00-07:00,2022-05-08T18:00:00-07:00,2022-05-08T17:58:00-07:00,2022-05-08T00:02:00-07:00
Low,2022-05-08,38.1,34.7,37.1,0,0,1.1,,0,0,0,0,3.62,97.92,30.48,58,0,0,73,28,71.6,43,29.2
Low Datetime,2022-05-08,2022-05-08T06:05:00-07:00,2022-05-08T05:26:00-07:00,2022-05-08T18:14:00-07:00,2022-05-08T01:01:00-07:00,2022-05-08T01:01:00-07:00,2022-05-08T00:00:00-07:00,,2022-05-08T01:00:00-07:00,2022-05-08T01:00:00-07:00,2022-05-08T01:00:00-07:00,2022-05-08T00:00:00-07:00,2022-05-08T01:00:00-07:00,2022-05-08T01:00:00-07:00,2022-05-08T17:05:00-07:00,2022-05-08T18:09:00-07:00,2022-05-08T01:00:00-07:00,2022-05-08T01:00:00-07:00,2022-05-08T05:45:00-07:00,2022-05-08T18:34:00-07:00,2022-05-08T05:45:00-07:00,2022-05-08T05:45:00-07:00,2022-05-08T17:05:00-07:00
Average,2022-05-07,43.4,43.3,43,0.5,0.7,8.2,N,0.1,0.95,2.97,2.97,2.23,96.53,30.56,98,0,42.9,75.1,37,74,47.3,29.28
High,2022-05-07,48.9,48.9,48.1,6,8.1,10.3,,1.09,2.34,4.45,4.45,3.62,97.92,30.64,99,8,861.5,77.4,40,76.5,49.8,29.36
High Datetime,2022-05-07,2022-05-07T09:58:00-07:00,2022-05-07T09:58:00-07:00,2022-05-07T09:46:00-07:00,2022-05-07T09:53:00-07:00,2022-05-07T09:59:00-07:00,2022-05-07T09:47:00-07:00,,2022-05-07T11:05:00-07:00,2022-05-07T22:48:00-07:00,2022-05-07T22:48:00-07:00,2022-05-07T22:48:00-07:00,2022-05-07T22:48:00-07:00,2022-05-07T22:48:00-07:00,2022-05-07T16:22:00-07:00,2022-05-07T01:00:00-07:00,2022-05-07T09:40:00-07:00,2022-05-07T09:40:00-07:00,2022-05-07T23:33:00-07:00,2022-05-07T20:55:00-07:00,2022-05-07T23:33:00-07:00,2022-05-07T21:09:00-07:00,2022-05-07T16:22:00-07:00
Low,2022-05-07,39.4,39.4,39.1,0,0,1.1,,0,0,0,0,1.28,95.58,30.38,94,0,0,73.4,35,72.2,45.2,29.11
Low Datetime,2022-05-07,2022-05-07T23:24:00-07:00,2022-05-07T23:24:00-07:00,2022-05-07T23:24:00-07:00,2022-05-07T01:12:00-07:00,2022-05-07T01:12:00-07:00,2022-05-07T00:00:00-07:00,,2022-05-07T01:04:00-07:00,2022-05-07T00:00:00-07:00,2022-05-07T00:00:00-07:00,2022-05-07T00:00:00-07:00,2022-05-07T00:00:00-07:00,2022-05-07T00:00:00-07:00,2022-05-07T00:00:00-07:00,2022-05-07T09:59:00-07:00,2022-05-07T01:00:00-07:00,2022-05-07T01:00:00-07:00,2022-05-07T05:33:00-07:00,2022-05-07T23:41:00-07:00,2022-05-07T05:33:00-07:00,2022-05-07T08:02:00-07:00,2022-05-07T00:00:00-07:00
Average,2022-05-06,46.2,46.1,45.1,0.6,0.9,9.2,WSW,0.02,0.14,1.66,1.66,0.9,95.2,30.46,96,0,89.4,75.9,37,74.9,47.8,29.18
High,2022-05-06,52.9,52.9,50.1,6.9,9.2,9.2,,0.24,0.52,2.11,2.11,1.28,95.58,30.57,99,8,878.9,79.3,39,78.6,50.5,29.3
High Datetime,2022-05-06,2022-05-06T14:47:00-07:00,2022-05-06T14:47:00-07:00,2022-05-06T14:45:00-07:00,2022-05-06T02:08:00-07:00,2022-05-06T02:08:00-07:00,2022-05-06T01:00:00-07:00,,2022-05-06T23:10:00-07:00,2022-05-06T23:58:00-07:00,2022-05-06T23:58:00-07:00,2022-05-06T23:58:00-07:00,2022-05-06T23:58:00-07:00,2022-05-06T23:58:00-07:00,2022-05-06T02:29:00-07:00,2022-05-06T01:00:00-07:00,2022-05-06T14:33:00-07:00,2022-05-06T14:33:00-07:00,2022-05-06T15:26:00-07:00,2022-05-06T00:00:00-07:00,2022-05-06T15:26:00-07:00,2022-05-06T15:47:00-07:00,2022-05-06T02:29:00-07:00
Low,2022-05-06,41.9,39.6,41.6,0,0,3.4,,0,0,0,0,0.76,95.06,30.35,83,0,0,73.4,35,72.2,45.5,29.08
Low Datetime,2022-05-06,2022-05-06T05:09:00-07:00,2022-05-06T02:23:00-07:00,2022-05-06T05:09:00-07:00,2022-05-06T01:01:00-07:00,2022-05-06T01:01:00-07:00,2022-05-06T00:00:00-07:00,,2022-05-06T01:00:00-07:00,2022-05-06T01:00:00-07:00,2022-05-06T00:00:00-07:00,2022-05-06T00:00:00-07:00,2022-05-06T01:00:00-07:00,2022-05-06T01:00:00-07:00,2022-05-06T19:59:00-07:00,2022-05-06T16:56:00-07:00,2022-05-06T01:00:00-07:00,2022-05-06T01:00:00-07:00,2022-05-06T03:21:00-07:00,2022-05-06T16:57:00-07:00,2022-05-06T03:21:00-07:00,2022-05-06T03:21:00-07:00,2022-05-06T19:59:00-07:00
Average,2022-05-05,46.2,45.8,45.5,1.5,2.1,12,W,0.03,0.37,1.17,1.17,0.37,94.67,30.47,97,0,41,75.4,37,74.4,47.7,29.2
High,2022-05-05,49.1,49.1,48.6,10.7,15.9,17.2,,0.24,0.76,1.59,1.59,0.76,95.06,30.59,99,3,382.2,77.5,39,76.7,49.9,29.32
