https://www.weather.gov/wrh/climate
Monthly Total Precipitation for SEATTLE TACOMA AIRPORT, WA
Click column heading to sort ascending, click again to sort descending.

year	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	Annual
1973	4.29	1.89	1.62	1.35	1.60	2.50	0.08	0.27	1.81	3.31	7.99	8.33	35.04
1974	7.78	4.01	5.84	2.39	1.37	1.25	1.51	0.01	0.21	1.99	5.06	6.45	37.87
1975	6.01	5.80	2.87	2.49	1.13	0.84	0.27	4.59	T	7.75	5.07	7.66	44.48
1976	5.55	4.74	2.71	1.67	1.61	0.63	1.17	2.71	1.25	2.06	0.74	1.86	26.70
1977	1.77	1.58	3.80	0.55	3.70	0.54	0.42	3.59	2.55	2.60	5.27	6.47	32.84
1978	4.30	3.59	2.43	4.19	1.79	0.75	1.40	1.19	5.95	0.98	6.05	1.37	33.99
1979	2.25	5.32	1.55	0.81	0.88	0.46	0.73	1.02	2.07	3.38	1.94	11.85	32.26
1980	4.09	5.04	2.10	3.23	0.97	1.77	0.46	0.64	1.43	1.32	7.16	7.39	35.60
1981	2.42	4.45	2.23	1.58	1.33	2.31	1.38	0.25	3.42	6.40	4.07	5.56	35.40
1982	5.35	7.57	3.73	2.07	0.63	1.03	0.59	0.62	1.49	4.07	5.31	6.86	39.32
1983	7.07	4.57	3.81	1.06	2.10	1.85	2.39	1.90	1.85	1.34	7.97	5.02	40.93
1984	3.62	3.91	3.91	2.87	3.38	2.81	0.17	0.13	1.01	2.14	8.09	4.95	36.99
1985	0.58	2.63	2.56	1.30	0.85	2.80	0.10	0.55	1.98	5.74	4.26	1.78	25.13
1986	8.54	4.41	2.67	1.38	1.71	0.68	1.10	0.10	1.89	4.21	7.98	3.67	38.34
1987	5.98	2.05	5.53	2.61	2.38	0.16	0.39	0.29	0.91	0.31	3.21	6.11	29.93
1988	4.07	0.71	3.75	3.20	3.01	1.56	0.50	0.28	1.75	2.24	8.43	3.48	32.98
1989	2.78	3.43	5.79	2.80	2.78	1.14	0.64	0.89	0.54	2.98	6.13	4.79	34.69
1990	9.41	3.72	2.58	2.54	1.98	3.05	0.58	0.71	0.05	5.79	10.71	3.63	44.75
1991	4.46	4.69	4.66	6.53	1.39	1.29	0.28	2.17	T	1.31	5.33	3.31	35.42
1992	7.82	3.09	1.68	4.12	0.12	1.14	0.89	0.66	1.15	2.45	5.57	4.09	32.78
1993	4.09	0.35	4.80	4.54	2.86	2.48	1.27	0.16	0.03	1.54	2.20	4.48	28.80
1994	2.51	4.47	3.17	2.27	1.43	1.25	0.28	0.30	1.69	3.51	5.79	8.15	34.82
1995	4.48	4.97	4.07	2.05	0.81	1.46	1.34	1.81	0.91	3.93	10.40	6.37	42.60
1996	7.34	8.35	2.06	5.37	2.07	0.59	0.77	1.32	1.85	5.54	5.23	10.18	50.67
1997	7.02	1.99	8.15	4.32	1.87	1.64	1.20	1.27	3.41	5.83	3.93	2.63	43.26
1998	7.15	3.31	3.96	0.99	1.98	M	0.41	0.35	0.72	3.48	11.62	8.98	M
1999	6.84	6.95	3.66	1.49	2.12	1.86	1.18	0.92	0.17	2.26	9.60	5.06	42.11
2000	3.77	5.25	2.82	1.48	3.27	1.61	0.23	0.33	1.12	3.00	3.27	2.51	28.66
2001	2.70	2.07	2.73	3.16	1.39	3.05	1.03	2.32	0.83	3.13	9.26	5.89	37.56
2002	5.98	4.17	2.82	4.29	1.11	1.73	0.64	0.04	0.42	0.67	3.51	5.98	31.36
2003	8.39	1.76	6.34	2.74	1.16	0.51	0.06	0.32	0.89	8.96	6.77	3.88	41.78
2004	6.36	2.44	2.14	0.65	2.51	0.71	0.16	3.00	2.80	2.80	3.16	4.37	31.10
2005	4.44	1.20	3.71	3.68	3.32	1.63	1.03	0.29	0.75	3.02	5.52	6.85	35.44
2006	11.65	2.55	2.18	2.73	1.65	1.67	0.06	0.02	1.43	1.55	15.63	7.30	48.42
2007	6.22	3.38	4.42	0.69	1.46	1.34	1.44	0.73	3.16	3.32	3.71	9.08	38.95
2008	4.26	1.47	3.65	1.90	0.89	1.64	0.48	2.87	0.78	2.17	6.52	4.10	30.73
2009	5.40	1.51	4.16	3.36	3.61	0.18	0.06	1.16	1.75	5.54	8.96	2.75	38.44
2010	6.17	3.52	3.76	3.49	2.83	2.49	0.31	0.64	4.80	5.24	5.05	8.69	46.99
2011	4.99	3.05	6.29	4.47	3.20	1.42	0.70	0.13	1.29	3.45	5.16	2.24	36.39
2012	6.83	3.63	7.20	2.68	2.05	2.96	1.04	T	0.03	6.71	8.28	6.85	48.26
2013	4.16	1.58	2.74	5.89	2.38	1.30	T	1.35	6.17	1.54	3.79	1.66	32.56
2014	3.70	6.11	9.44	4.18	3.15	0.73	0.77	1.81	2.23	6.75	4.84	4.79	48.50
2015	3.66	5.27	4.47	2.03	0.58	0.23	0.09	3.28	0.83	4.81	8.37	11.21	44.83
2016	7.45	5.97	5.52	1.19	0.94	1.77	0.72	0.17	1.05	10.05	6.48	3.87	45.18
2017	4.22	8.85	7.32	4.21	2.28	1.52	T	0.02	0.59	4.80	8.63	5.43	47.87
2018	8.12	2.16	2.44	5.69	0.12	0.63	0.05	0.20	1.04	3.78	5.42	6.08	35.73
2019	3.83	4.62	1.37	3.53	0.62	0.90	1.15	1.20	3.32	3.67	1.71	7.96	33.88
2020	9.23	4.05	3.17	1.70	3.12	2.28	0.17	0.31	2.48	2.58	5.58	6.65	41.32
2021	8.75	4.68	2.61	1.03	1.12	1.91	T	0.11	3.02	5.76	10.26	M	M
2022	7.06	5.32	3.32	2.71	3.82	M	M	M	M	M	M	M	M
Mean	5.75	4.10	3.86	2.67	1.78	1.49	0.69	1.02	1.84	3.76	6.10	5.85	38.71
Max	12.92
1953	9.11
1961	9.44
2014	6.53
1991	4.76
1948	3.90
1946	2.39
1983	4.59
1975	6.17
2013	10.05
2016	15.63
2006	11.85
1979	55.14
1950
Min	0.58
1985	0.35
1993	0.57
1965	0.33
1956	0.12
2018	0.13
1951	T
2021	T
2012	T
1991	0.31
1987	0.74
1976	1.37
1978	23.78
1952
