 01/12/2022 00:00:00     1 77.00
 01/12/2022 00:05:00     2 77.00
 01/12/2022 00:10:00     3 77.00
 01/12/2022 00:15:00     4 77.00
 01/12/2022 00:20:00     5 76.80
 01/12/2022 00:25:00     6 76.80
 01/12/2022 00:30:00     7 76.80
 01/12/2022 00:35:00     8 77.00
 01/12/2022 00:40:00     9 76.80
 01/12/2022 00:45:00    10 76.80
 01/12/2022 00:50:00    11 76.80
 01/12/2022 00:55:00    12 77.00
 01/12/2022 01:00:00    13 76.60
 01/12/2022 01:05:00    14 76.80
 01/12/2022 01:10:00    15 76.60
 01/12/2022 01:15:00    16 76.60
 01/12/2022 01:20:00    17 76.50
 01/12/2022 01:25:00    18 76.60
 01/12/2022 01:30:00    19 76.50
 01/12/2022 01:35:00    20 76.30
 01/12/2022 01:40:00    21 76.50
 01/12/2022 01:45:00    22 76.50
 01/12/2022 01:50:00    23 76.30
 01/12/2022 01:55:00    24 76.50
 01/12/2022 02:00:00    25 76.30
 01/12/2022 02:05:00    26 76.10
 01/12/2022 02:10:00    27 76.30
 01/12/2022 02:15:00    28 75.90
 01/12/2022 02:20:00    29 75.90
 01/12/2022 02:25:00    30 75.90
 01/12/2022 02:30:00    31 75.90
 01/12/2022 02:35:00    32 75.90
 01/12/2022 02:40:00    33 75.90
 01/12/2022 02:45:00    34 75.70
 01/12/2022 02:50:00    35 75.60
 01/12/2022 02:55:00    36 75.70
 01/12/2022 03:00:00    37 75.60
 01/12/2022 03:05:00    38 75.60
 01/12/2022 03:10:00    39 75.70
 01/12/2022 03:15:00    40 75.70
 01/12/2022 03:20:00    41 75.70
 01/12/2022 03:25:00    42 75.60
 01/12/2022 03:30:00    43 75.60
 01/12/2022 03:35:00    44 75.60
 01/12/2022 03:40:00    45 75.40
 01/12/2022 03:45:00    46 75.40
 01/12/2022 03:50:00    47 75.20
 01/12/2022 03:55:00    48 75.20
 01/12/2022 04:00:00    49 75.00
 01/12/2022 04:05:00    50 75.00
 01/12/2022 04:10:00    51 75.00
 01/12/2022 04:15:00    52 75.00
 01/12/2022 04:20:00    53 75.00
 01/12/2022 04:25:00    54 74.80
 01/12/2022 04:30:00    55 74.80
 01/12/2022 04:35:00    56 74.80
 01/12/2022 04:40:00    57 75.00
 01/12/2022 04:45:00    58 74.70
 01/12/2022 04:50:00    59 75.00
 01/12/2022 04:55:00    60 74.70
 01/12/2022 05:00:00    61 74.70
 01/12/2022 05:05:00    62 74.70
 01/12/2022 05:10:00    63 74.50
 01/12/2022 05:15:00    64 74.50
 01/12/2022 05:20:00    65 74.50
 01/12/2022 05:25:00    66 74.30
 01/12/2022 05:30:00    67 74.50
 01/12/2022 05:35:00    68 74.10
 01/12/2022 05:40:00    69 74.10
 01/12/2022 05:45:00    70 74.10
 01/12/2022 05:50:00    71 73.90
 01/12/2022 05:55:00    72 73.90
 01/12/2022 06:00:00    73 74.10
 01/12/2022 06:05:00    74 73.90
 01/12/2022 06:10:00    75 73.90
 01/12/2022 06:15:00    76 74.10
 01/12/2022 06:20:00    77 74.10
 01/12/2022 06:25:00    78 74.10
 01/12/2022 06:30:00    79 73.90
 01/12/2022 06:35:00    80 73.90
 01/12/2022 06:40:00    81 73.80
 01/12/2022 06:45:00    82 73.90
 01/12/2022 06:50:00    83 73.60
 01/12/2022 06:55:00    84 73.80
 01/12/2022 07:00:00    85 73.80
 01/12/2022 07:05:00    86 73.80
 01/12/2022 07:10:00    87 73.60
 01/12/2022 07:15:00    88 73.60
 01/12/2022 07:20:00    89 73.60
 01/12/2022 07:25:00    90 73.40
 01/12/2022 07:30:00    91 73.60
 01/12/2022 07:35:00    92 73.60
 01/12/2022 07:40:00    93 73.60
 01/12/2022 07:45:00    94 73.60
 01/12/2022 07:50:00    95 73.60
 01/12/2022 07:55:00    96 73.60
 01/12/2022 08:00:00    97 73.80
 01/12/2022 08:05:00    98 73.40
 01/12/2022 08:10:00    99 73.40
 01/12/2022 08:15:00   100 73.60
 01/12/2022 08:20:00   101 73.40
 01/12/2022 08:25:00   102 73.40
 01/12/2022 08:30:00   103 73.60
 01/12/2022 08:35:00   104 73.40
 01/12/2022 08:40:00   105 73.40
 01/12/2022 08:45:00   106 73.40
 01/12/2022 08:50:00   107 73.20
 01/12/2022 08:55:00   108 73.20
 01/12/2022 09:00:00   109 73.20
 01/12/2022 09:05:00   110 73.40
 01/12/2022 09:10:00   111 73.40
 01/12/2022 09:15:00   112 73.80
 01/12/2022 09:20:00   113 73.80
 01/12/2022 09:25:00   114 73.80
 01/12/2022 09:30:00   115 73.90
 01/12/2022 09:35:00   116 74.10
 01/12/2022 09:40:00   117 74.10
 01/12/2022 09:45:00   118 74.10
 01/12/2022 09:50:00   119 74.10
